"id","SOC","X","Y","soil","BLD","CRF","OCS","OCSlog"
"P3641",2.81402352623428,21.43070982,41.05533602,"Gleysol",1.28535065555859,0,108.510209526076,4.68684426556819
"P3642",3.46555672239439,21.41981824,41.05063037,"Gleysol",1.18707120879514,0,123.415878228025,4.81555977603016
"P3650",3.0319076640508,21.43023162,41.02027078,"Gleysol",1.29418050383795,0,117.715073647542,4.76826707443952
"P3651",3.09396759496716,21.44253563,41.03055341,"Gleysol",1.07790977872783,0,100.050537770464,4.60567543603243
"P3652",2.69413093321019,21.45110877,41.03387018,"Gleysol",1.29107603580678,0,104.349836555803,4.64774906721439
"P3656",3.05192096694155,21.45789316,41.02092967,"Gleysol",1.18883623748491,0,108.847027183203,4.68994347617488
"P3660",4.00300193943905,21.44764446,41.01227969,"Gleysol",1.09760795063076,0,131.81180265356,4.88137516778259
"P3661",4.26800876162637,21.44791481,41.02059965,"Gleysol",1.18438866597497,0,151.649436106564,5.02157151574036
"P3663",5.77862884244476,21.44138046,40.99824634,"Gleysol",1.19760102680723,0,207.614755057492,5.33568422322412
"P3665",4.63135083021669,21.4415561,40.98715993,"Gleysol",1.19595970261997,0.0142009583637233,166.143671504378,5.11285290502541
"P3672",0.883668898194132,21.47830973,41.09820278,"Chromic Luvisol on saprolite",1.64257537745631,0,43.5447832199289,3.77378990783237
"P3678",0.466561314037375,21.45848565,41.07376188,"Chromic Luvisol on saprolite",1.47402271607109,0,20.6316592599321,3.02682675331723
"P3681",0.517144829923061,21.47037222,41.06686991,"Chromic Luvisol on saprolite",1.59981169727573,0,24.8200304428974,3.21165100632274
"P3687",0.666272913951049,21.47890676,41.05582121,"Fluvisol",1.6272682901515,0.136058559805262,32.4818889612884,3.48068267127752
"P3689",1.06955082952787,21.46170252,41.0504972,"Mollic Fluvisol",1.71175683195813,1.89691909371283,53.8824581186494,3.98680497259968
"P3697",0.303869325122334,21.45901816,40.99114419,"Gleysol",0.986438862928349,0,8.9924553465744,2.19638593094556
"P3703",1.69179107480936,21.46059779,40.9824476,"Fluvisol",1.39166801335919,0.0533371040723982,70.5946724752155,4.2569546809609
"P3704",1.64677775928824,21.47139041,40.97109309,"Fluvisol",1.49919960023831,8.36467372898613,67.8701229489842,4.21759592225056
"P3706",1.33410672853828,21.47394524,40.96781361,"Fluvisol",1.4,0,56.0324825986077,4.02593156897697
"P3708",1.1621872808336,21.46043703,40.96445527,"Fluvisol",1.39907332942134,0,48.77955685221,3.88731130812597
"P3712",2.56045483638691,21.45317895,40.97325538,"Mollic Fluvisol",1.28927801724138,0,99.0341440407905,4.59546467997486
"P3720",1.35809563310757,21.42298069,40.99830631,"Mollic Fluvisol",1.40269708374759,0,57.1499035203098,4.04567770205584
"P3721",2.17398833331228,21.41691295,41.02004055,"Mollic Fluvisol",1.48174226297319,10.6775304638683,86.3200838901432,4.4580622928
"P3725",1.40603386457672,21.40705153,41.03864497,"Fluvisol",1.60014889881691,0.0722844834139584,67.4471171359272,4.21134384098316
"P3732",1.31779235062159,21.40448419,41.06805657,"Mollic Fluvisol",1.50965059933865,0,59.6821803575931,4.08903348937013
"P3735",3.50495435029551,21.42447316,41.0623023,"Mollic Fluvisol",1.16938941450947,0,122.959695467235,4.81185662254571
"P3746",0.717367995500246,21.40164249,40.99992257,"Fluvisol",1.48775252525253,5.48989898989899,30.2602265674736,3.40983419569086
"P3750",1.49435934368705,21.41473764,40.98600777,"Fluvisol",1.50325289189669,0.123366757626431,67.3088608224298,4.20929188953577
"P3758",1.09260522977635,21.405432,40.95101844,"Planosol",1.7,0.0120986306659538,55.7161250147531,4.02026960260877
"P3759",0.996679622762678,21.400568,40.94807261,"Planosol",1.6,0,47.8406218926085,3.86787510898532
"P3762",1.80392812776273,21.42103855,40.96767676,"Mollic Fluvisol",1.48359799966086,6.60252136702366,74.9880182323808,4.31732834387223
"P3767",3.29905691243647,21.44753248,40.95704951,"Mollic Fluvisol",1.27124258829595,0,125.817049449042,4.834828863295
"P3768",2.19265483405135,21.44220365,40.95421532,"Mollic Fluvisol",1.37598174214606,0.00840643274853801,90.5039817584991,4.50539384706951
"P3774",1.17635462545418,21.43292574,40.93408711,"Fluvisol",1.59060747217521,0.922137837427891,55.6159249769574,4.0184695806949
"P3779",1.34261930375234,21.40843128,40.926936,"Fluvisol",1.59266216016548,10.0733783983452,57.6880795696257,4.05505055892334
"P3783",1.51128166359419,21.42186802,40.94680792,"Fluvisol",1.60028994055899,1.03779111301615,71.8016994393858,4.2739081448463
"P3787",1.54693236837434,21.40723473,40.93510828,"Fluvisol",1.40387709817474,8.16544298461322,59.831212809001,4.0915274781141
"P3789",1.75406123117676,21.44549309,41.05822457,"Fluvisol",1.29689156165683,0,68.2448162802759,4.22310147924323
"P3802",0.464037122969838,21.34975871,41.12152917,"Mollic Fluvisol",1.70030217965592,7.01544318959617,22.0095375339772,3.09147588368551
"P3805",1.69571319926119,21.38856764,41.12130575,"Fluvisol",1.38176707084303,0,70.2924198099899,4.25266396668701
"P3812",1.13901504974539,21.37080769,41.11632133,"Fluvisol",1.38911034400659,0.573425461258428,47.1943424724242,3.85427402253501
