"id","clay","X","Y","soil"
"P0122",17.408979791395,21.77602994,42.05325537,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0123",18.0056857801088,21.80623996,42.08440708,"Complex of Vertisol and Humic Calcaric Regosol"
"P0124",14.3413461538462,21.81918934,42.08662032,"Complex of Vertisol and Humic Calcaric Regosol"
"P0125",21.1408839779006,21.76566915,42.09286031,"Complex of Vertisol and Humic Calcaric Regosol"
"P0126",15,21.77809131,42.22186124,"Complex of Vertisol and Humic Calcaric Regosol"
"P0127",16,21.7612119,42.23851389,"Complex of Vertisol and Humic Calcaric Regosol"
"P0128",16.8731174698795,21.75628448,42.24797312,"Complex of Vertisol and Humic Calcaric Regosol"
"P0130",8,21.8027059,42.24391218,"Complex of Vertisol and Humic Calcaric Regosol"
"P0132",31.6431781045752,21.59903482,42.07297149,"Fluvisol"
"P0164",43.3716162420382,21.67242213,42.06347117,"Chromic Luvisol on saprolite"
"P0165",46.2777355796653,21.68658261,42.07909886,"Vertisol"
"P0197",43.2109375,21.69578966,42.10873763,"Vertisol"
"P0231",29.421875,21.77542712,42.19617425,"Vertisol"
"P0246",34.3073422330097,21.70418099,42.1567659,"Vertisol"
"P0249",34.0721911276949,21.74450692,42.16350709,"Populated Site"
"P0255",29.0055338541667,21.75687829,42.14650838,"Vertisol"
"P0260",34.2225421348315,21.76355527,42.12624199,"Vertisol"
"P0283",22,21.80548106,42.15240794,"Complex of Regosol and Leptosol"
"P0295",24,21.78829902,42.16506028,"Complex of Regosol and Leptosol"
"P0299",48.8451797385621,21.81201532,42.12781804,"Complex of Regosol and Leptosol"
"P0306",37.6676264044944,21.72857166,42.07826373,"Vertisol"
"P0307",45.9902597402597,21.71299856,42.08199004,"Vertisol"
"P0313",25.8661151960784,21.66505764,42.04437206,"Complex of Vertisol and Humic Calcaric Regosol"
"P0314",32.9637268304757,21.64878881,42.04695022,"Chromic Luvisol on saprolite"
"P0319",5.80979305049182,21.66580095,42.05887283,"Vertisol"
"P0320",4.79094827586207,21.89271833,42.25716618,"Cambisol"
"P0321",2,21.90497584,42.27357333,"Cambisol"
"P0322",4,21.92881645,42.26908811,"Cambisol"
"P0323",4,21.92146867,42.25647961,"Regosol"
"P0324",9,21.9553327,42.26140648,"Cambisol"
"P0326",6.0914805028425,22.03033207,42.26867116,"Cambisol"
"P0327",3.47765160536058,22.05015157,42.28035778,"Cambisol"
"P0328",7.70665614312023,22.09584109,42.28977089,"Cambisol"
"P0331",1.32460357701199,22.23168061,42.26758568,"Complex of Cambisol and Regosol"
"P0332",1,22.25971848,42.261519,"Complex od Cambisol and Leptosol"
"P0334",2,22.20810175,42.30808115,"Complex of Cambisol and Regosol"
"P0337",1,22.32138008,42.26986435,"Complex of Cambisol, Leptosol and Regosol"
"P0338",2,22.31461466,42.28904701,"Cambisol"
"P0339",2,22.28814779,42.30529213,"Cambisol"
"P0340",28.4914383561644,21.87088478,42.23296175,"Vertisol"
"P0341",27.3,21.86531991,42.21581625,"Vertisol"
"P0345",22,21.9479351,42.20770838,"Vertisol"
"P0347",32,21.96891916,42.23760455,"Vertisol"
"P0349",38.7314927184466,21.87745385,42.16926594,"Complex of Regosol and Vertisol"
"P0350",45.0224622770919,21.91430237,42.17394813,"Vertisol"
"P0352",25,21.90335439,42.14204521,"Complex of Vertisol, Regosol and Leptosol"
"P0356",33.3778348688873,21.9899484,42.14268125,"Vertisol"
"P0360",34.933132921677,21.84701826,42.09781694,"Complex of Vertisol, Regosol and Leptosol"
"P0361",33.0197669246318,21.87547658,42.08109961,"Vertisol"
"P0363",38,21.92184843,42.09758231,"Complex of Vertisol, Regosol and Leptosol"
"P0364",45.5565605829199,21.89036732,42.05000329,"Vertisol"
"P0365",35.6217637540453,21.95435742,42.06859486,"Complex of Vertisol, Regosol and Leptosol"
"P0366",43.194815516062,21.96965503,42.0764979,"Complex of Regosol and Vertisol"
"P0367",34.164120160259,21.93901757,42.04690542,"Complex of Vertisol, Regosol and Leptosol"
"P0368",34,21.88262742,42.02757171,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0369",46.2818462401796,21.97123445,42.02074257,"Complex of Vertisol, Regosol and Leptosol"
"P0370",45,22.05043698,42.0429955,"Complex of Vertisol, Regosol and Leptosol"
"P0372",45.1931416840637,22.04577729,42.06452083,"Complex of Vertisol, Regosol and Leptosol"
"P0373",12.7836734693878,22.02966176,42.08117026,"Fluvisol"
"P0375",26,22.05704649,42.15813595,"Complex of Vertisol, Regosol and Leptosol"
"P0376",8,22.05783394,42.17780135,"Complex of Cambisol, Leptosol and Regosol"
"P0379",36,22.04453245,42.13079877,"Complex of Vertisol, Regosol and Leptosol"
"P0380",41.5079966329966,21.95684065,42.03599876,"Complex of Vertisol, Regosol and Leptosol"
"P0381",9,22.07716923,42.16877999,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
