"id","pH","X","Y","soil"
"P0115",6.7,21.72212369,42.03398798,"Complex of Vertisol and Humic Calcaric Regosol"
"P0117",8.2,21.75935101,42.01816215,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0118",6.72929034690799,21.7780753,42.00899692,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0120",5.36284984427278,21.80940102,42.02782334,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0122",7.92272653194263,21.77602994,42.05325537,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0123",8.10037338436361,21.80623996,42.08440708,"Complex of Vertisol and Humic Calcaric Regosol"
"P0124",8.03798076923077,21.81918934,42.08662032,"Complex of Vertisol and Humic Calcaric Regosol"
"P0125",8.05704419889503,21.76566915,42.09286031,"Complex of Vertisol and Humic Calcaric Regosol"
"P0126",7.6,21.77809131,42.22186124,"Complex of Vertisol and Humic Calcaric Regosol"
"P0127",6.44544843597263,21.7612119,42.23851389,"Complex of Vertisol and Humic Calcaric Regosol"
"P0128",7.86076807228916,21.75628448,42.24797312,"Complex of Vertisol and Humic Calcaric Regosol"
"P0130",8,21.8027059,42.24391218,"Complex of Vertisol and Humic Calcaric Regosol"
"P0132",6.21079452614379,21.59903482,42.07297149,"Fluvisol"
"P0164",6.4421875,21.67242213,42.06347117,"Chromic Luvisol on saprolite"
"P0165",7.05908672308763,21.68658261,42.07909886,"Vertisol"
"P0197",6.5,21.69578966,42.10873763,"Vertisol"
"P0231",7.3,21.77542712,42.19617425,"Vertisol"
"P0246",7.19745145631068,21.70418099,42.1567659,"Vertisol"
"P0249",6.86029487976783,21.74450692,42.16350709,"Populated Site"
"P0255",8,21.75687829,42.14650838,"Vertisol"
"P0260",8.1,21.76355527,42.12624199,"Vertisol"
"P0283",8.1,21.80548106,42.15240794,"Complex of Regosol and Leptosol"
"P0295",7.8,21.78829902,42.16506028,"Complex of Regosol and Leptosol"
"P0306",7.3,21.72857166,42.07826373,"Vertisol"
"P0307",6.20015548729975,21.71299856,42.08199004,"Vertisol"
"P0313",6.64309640522876,21.66505764,42.04437206,"Complex of Vertisol and Humic Calcaric Regosol"
"P0314",6.45977485793604,21.64878881,42.04695022,"Chromic Luvisol on saprolite"
"P0319",6.60575997248968,21.66580095,42.05887283,"Vertisol"
"P0320",5.84181034482759,21.89271833,42.25716618,"Cambisol"
"P0321",5.8,21.90497584,42.27357333,"Cambisol"
"P0322",5.8,21.92881645,42.26908811,"Cambisol"
"P0323",5.9,21.92146867,42.25647961,"Regosol"
"P0324",7.4,21.9553327,42.26140648,"Cambisol"
"P0325",5.9,21.98755059,42.26848033,"Complex of Cambisol and Regosol"
"P0326",5,22.03033207,42.26867116,"Cambisol"
"P0327",4.94872642837039,22.05015157,42.28035778,"Cambisol"
"P0328",5.2,22.09584109,42.28977089,"Cambisol"
"P0331",5.54048177389856,22.23168061,42.26758568,"Complex of Cambisol and Regosol"
"P0332",5,22.25971848,42.261519,"Complex od Cambisol and Leptosol"
