"id","SOC","X","Y","soil","BLD","CRF","OCS","clay"
"P0007",3.42227378190255,20.83164687,42.02279237,"Complex of Mollic and Umbric Leptosol",1.1210259629613,22,89.7731116278637,4.49728550539205
"P0008",2.31903960374681,20.82036395,42.050138,"Complex of Mollic and Umbric Leptosol",1.27425612032606,31.8052685950413,60.4556606657217,4.1019102147895
"P0011",2.30879809708338,20.90421495,42.00988324,"Cambisol",1.27566393349759,27.1363167347121,64.3805390439053,4.16481139868285
"P0012",2.70815060933161,20.91869523,42.01554886,"Cambisol",1.24216908805794,22.9170970100323,77.7916256940125,4.35403378649642
"P0013",4.34820475387506,20.88516468,42.00945158,"Complex of Mollic and Umbric Leptosol",1.03086275874447,26.3336021244294,99.0607304455047,4.59573310090138
"P0015",4.54092572666348,20.87904475,42.0025483,"Complex of Mollic and Umbric Leptosol",1.0109830873682,16.3006174845629,115.274115244195,4.74731290288826
"P0016",4.56321411373287,20.86027284,42.03044806,"Complex of Mollic and Umbric Leptosol",1.00850657565711,12.3702830188679,120.982413783197,4.79564519439903
"P0018",4.08660817865429,20.96512591,42.09252815,"Complex of Mollic and Umbric Leptosol",1.06435171924162,38.84375,79.8013554251246,4.37954048958877
"P0019",4.79854542209531,20.99245978,42.0789825,"Cambisol",0.976662498201329,34.151282051282,92.5811776275719,4.52808585562994
"P0020",4.11832946635731,20.9693792,42.04615973,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.04301389294505,44,72.1639774654789,4.27894099432233
"P0022",4.58825016710236,21.00528514,42.1044093,"Cambisol",0.996697512977385,15.5695701357466,115.832577092596,4.75214584761841
"P0025",0.870069605568445,21.02033792,42.06560129,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.54464009885697,39,24.5941825485057,3.20250993320403
"P0026",1.72063805259688,21.0057291,42.06668341,"Cambisol",1.38464333976107,42.1906538615982,41.318710209401,3.72131542908373
"P0027",1.61095475606047,21.01649278,42.00885055,"Fluvisol",1.39213127843156,1.09832796871587,66.5408620947162,4.19781622654362
"P0028",3.93245965627421,21.06526948,42.01170543,"Fluvisol",1.06298153545077,1.99306932671113,122.904572242388,4.81140821882862
"P0031",1.68535799765163,21.06804184,42.03015278,"Fluvisol",1.37825924944762,1.47700631507176,68.6565436898228,4.22911644726091
"P0033",1.89726572646837,21.02528029,42.03572556,"Fluvisol",1.34445042417153,20.0849215398806,61.1537282149171,4.11339082862983
"P0034",1.84343802384349,21.0377778,42.05103768,"Fluvisol",1.35028646460043,18.9828004490684,60.4996604886161,4.10263775326264
"P0035",2.48102365671771,21.05498286,42.06751674,"Fluvisol",1.2491406604574,28.9714954585644,66.0383443049155,4.19023554764309
"P0036",2.45156420581825,21.07326513,42.07753677,"Fluvisol",1.25435330538544,14.3021729403151,79.0595276447579,4.37020108320811
"P0038",2.25955278004035,21.10236686,42.03949133,"Fluvisol",1.2822249973289,9.97878486864438,78.2443262424809,4.35983631870811
"P0040",2.50922217897222,21.11060353,42.07379729,"Fluvisol",1.24539054508787,13.2862403454903,81.2931501409062,4.39806175889479
"P0041",2.62409367087012,21.09188211,42.09772786,"Fluvisol",1.23100898978213,13.9707447181425,83.3696496418907,4.42328432996546
"P0042",2.14724631834445,21.09524763,42.11697514,"Fluvisol",1.30002991827209,16.8691368704344,69.6175536657136,4.24301674338204
"P0043",2.6770926680964,21.11811552,42.13630288,"Fluvisol",1.22618098346322,16.3578763725134,82.3690935317627,4.41121028805787
"P0044",6.67053364269142,21.1142375,42.01109089,"Rendzic Leptosols",0.830978893136115,29,118.067447722559,4.77125605203897
"P0045",7.07656612529002,21.13594528,42.0225562,"Rendzic Leptosols",0.804945585678408,29,121.330139149879,4.79851525293429
"P0049",5.22041763341067,21.24180942,42.03210619,"Rendzic Leptosols",0.939496429913566,16,123.595005977028,4.8170101394907
"P0051",1.98505557288374,21.30169337,42.03841117,"Complex of Vertisol and Humic Calcaric Regosol",1.3255337163505,9.71207275594816,71.2712517156772,4.26649304436891
"P0052",2.24122193700743,21.30703313,42.05370353,"Complex of Vertisol and Humic Calcaric Regosol",1.28400529829428,8.14010689354276,79.3046898339486,4.37329726729496
"P0061",4.23433874709977,21.17352048,42.15003513,"Complex of Mollic and Umbric Leptosol",1.03105538829546,14,112.638614751489,4.72418459431821
"P0062",6.32250580046404,21.14053722,42.15550048,"Chromic Luvisol on hard limestones",0.854671635157772,18,132.930192721117,4.88982412367246
"P0066",3.77030162412993,21.15337156,42.16873744,"Chromic Luvisol on hard limestones",1.08061378863194,34,80.6699504622568,4.39036614486982
"P0067",2.32018561484919,21.33791761,42.03412345,"Complex of Vertisol and Humic Calcaric Regosol",1.27161749745677,21,69.9242104169965,4.24741194716866
"P0069",2.7262180974478,21.33318511,42.06453421,"Complex of Vertisol and Humic Calcaric Regosol",1.21165123830757,10,89.1870894090666,4.49073629154395
"P0071",5.10440835266821,21.37959926,42.08522484,"Rendzic Leptosols",0.949415160261279,4,139.5706370166,4.93857083164713
"P0072",2.67458985371312,21.3538251,42.09531938,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",1.22153354006438,2.00630417651694,96.0465967246357,4.56483345625612
"P0073",2.49419953596288,21.36570627,42.11383884,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones",1.2452059570653,10,83.8563872478431,4.42910566005911
"P0074",1.62971103283979,21.37004066,42.12305376,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.3905484579113,41.451890896921,39.8043798121329,3.6839769517668
