ProfID,x,y,soc_0_30,soc_30_60,soc_60_100,clay_0_30,clay_30_60,clay_60_100,ph_0_30,ph_30_60,ph_60_100,ocs_0_30,ocs_30_60,ocs_60_100
P0000,483425.3,4654678,NA,NA,NA,13.652707164638613,9.241957542393374,NA,NA,NA,NA,NA,NA,NA
P0001,482425.6,4653140.1,NA,NA,NA,23.714597130242822,32.33721026490066,NA,NA,NA,NA,NA,NA,NA
P0002,484490.3,4654364.4,NA,NA,NA,14.769538000382806,15.684644096010892,15.805952619418795,NA,NA,NA,NA,NA,NA
P0005,485996.7,4653656.1,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA
P0007,486492.2,4653202.6,3.5516519585373314,2.3309481479779177,NA,12.441615667074663,13.954842255139509,NA,5.117434210526317,5.524113856068742,NA,95.77884450770769,47.06326250253505,NA
P0008,485563.6,4656241.9,2.262324488248967,1.5230743959194213,NA,1.881221590909091,3.2265340909090914,NA,6.805343491735538,6.683042355371902,NA,59.54411826488395,41.34419668657996,NA
P0009,495075.1,4652932.6,1.8901071530693385,NA,NA,5.8143209287531805,NA,NA,4.679997614503817,NA,NA,60.29038825606868,NA,NA
P0010,494798.2,4651945,1.3157796602863554,1.0395094689435065,NA,8.87351364755055,9.79803959009611,NA,5.5296349141941805,4.983903725324385,NA,48.81752177280906,36.89454168622733,NA
P0011,492500.1,4651760.4,2.2555266376151892,1.8740322143642185,NA,2.776375483333861,3.60410474180901,NA,4.687970040345828,4.5687301279770605,NA,63.166889675554934,54.95528081129181,NA
P0012,493699.9,4652388,2.590537500104443,1.618328548096363,1.886297977612751,3.9988749180413485,1.9862603727947843,0.7570334407879308,4.491616166598005,4.552763036502789,4.534528353341884,75.65743384157626,49.46798173945353,74.08143591408292
P0017,493524.5,4654344.7,2.057791738277933,1.5527766098339526,NA,5.435835302783831,6.686354010005832,NA,6.316838085591807,5.534475000767319,NA,63.596711312854055,51.546420478920496,NA
P0020,497899.3,4655784.5,4.095128,NA,NA,0,NA,NA,6.54,NA,NA,71.79583336038985,NA,NA
P0021,498748.4,4662817.3,3.1142264382062153,1.3226038156779667,NA,0,0,NA,4.450840395480226,4.366906779661019,NA,59.166966971628376,27.208722959151572,NA
P0023,502873.9,4660676.1,1.4861372186707258,NA,NA,2.7886225266362255,NA,NA,5.19500253678336,NA,NA,44.56823423107611,NA,NA
P0024,506399.6,4663084.9,1.2986233591927565,0.88406037615101285,NA,2.660704419889503,4.431077348066299,NA,5.981114180478822,5.430331491712709,NA,37.81512365203403,25.394198447452972,NA
P0025,502117.1,4657944.2,0.8526682,NA,NA,0.8,NA,NA,6.34,NA,NA,24.319050952442012,NA,NA
P0026,500908.1,4658064.1,1.6663258651719983,0.40085405109088446,NA,2.092078369696159,6.562434747691073,NA,6.043164904296614,6.145831883282025,NA,41.039629882469114,14.159539302115258,NA
P0027,501800.3,4651641.4,1.6016036466200678,1.0838779509624,0.9477646190516632,7.829089082556211,11.697122785992743,14.190782550834612,6.882589612674406,6.610157002233499,6.684004798697774,66.11257162547028,46.97769638885187,56.95553835108471
