LabID,STATE,MUNICIPALITY,p_bray,k,ca,stratum,x,y
1643,VERACRUZ,Papantla,23.1,1.2,47,10,-97.27294764656816,20.478219795981197
1644,VERACRUZ,Gutierrez Zamora,6,0.4,60.5,11,-97.1179882600603,20.47148243135028
1647,JALISCO,Ameca,11.1,0.4,12.3,15,-104.0484906769189,20.46474506671936
1648,JALISCO,San Martin de Hidalgo,80.5,2.4,37.5,23,-103.9721338777701,20.46474506671936
1650,JALISCO,Villa Corona,5,1.1,13.5,15,-103.74081769211344,20.469236643139972
1653,JALISCO,Tlajomulco de Zuqiga,33.2,1.1,24.6,14,-103.5095015064568,20.47148243135028
1655,JALISCO,Tototlan,11.1,0.9,15.4,20,-102.73919615033805,20.47597400777089
1657,JALISCO,Atotonilco el Alto,110.7,0.7,26.9,14,-102.58648255204044,20.47597400777089
1660,GUANAJUATO,Penjamo,39.7,0.1,3,14,-101.6612178094138,20.478219795981197
1661,GUANAJUATO,Abasolo,22.1,0.1,5.7,20,-101.43214741196742,20.478219795981197
1662,GUANAJUATO,Cortazar,8.1,1.1,6.1,14,-100.89315824150532,20.473728219560584
1665,QUERETARO,Corregidora,12.1,1.4,2.3,14,-100.430525870192,20.469236643139972
1666,QUERETARO,Huimilpan,12.1,1.3,1.9,14,-100.27556648368414,20.469236643139972
1668,HIDALGO,Tecozautla,22.1,1,1.5,14,-99.73657731322204,20.462499278509053
1670,HIDALGO,Huichapan,42.3,0.9,1.9,14,-99.58386371492443,20.45800770208844
1677,PUEBLA,Jalpan,12.6,0.6,28.3,11,-97.81418260524052,20.419829302513232
1679,VERACRUZ,Papantla,0,0.6,72.1,10,-97.19883663562962,20.40186299683078
1680,VERACRUZ,Gutierrez Zamora,6,1,63.3,11,-97.12247983648082,20.399617208620473
1686,JALISCO,San Martin de Hidalgo,20.1,1.5,18,15,-103.96988808955984,20.39287984398955
1687,JALISCO,San Martin de Hidalgo,11.1,0.5,31.2,14,-103.89353129041103,20.39287984398955
1688,JALISCO,Cocula,70.5,1.4,23.1,15,-103.81717449126224,20.39512563219986
1689,JALISCO,Tlajomulco de Zuqiga,15.1,0.5,3.8,14,-103.35454211994896,20.399617208620473
1690,JALISCO,Ixtlahuacan de los Membrillo,30.2,1.4,16.4,14,-103.27818532080012,20.399617208620473
1691,JALISCO,Poncitlan,4,1.4,5.5,20,-103.04686913514348,20.40186299683078
1692,JALISCO,Ocotlan,54.6,0.7,22.9,14,-102.73919615033805,20.404108785041085
1693,JALISCO,La Barca,24.2,1,15.7,14,-102.58648255204044,20.404108785041085
1694,JALISCO,Degollado,17.1,0.5,19.7,14,-102.12385018072712,20.40635457325139
1695,GUANAJUATO,Penjamo,59.6,1.2,3.2,14,-101.89253399507048,20.40635457325139
