ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
1,Vertisol,Temporal,BAJA CALIFORNIA,Playas de Rosarito,32.39701,-117.02849,Mexicali,7,1.4,2.4,1.4,21,26.2,32,41.8,Arcilla,Arcillosa,0.1,0.7,18.8,18.2,1.4,58.6,0.1,0
2,Fluvisol,Temporal,BAJA CALIFORNIA,Playas de Rosarito,32.32574,-117.01967,Mexicali,7.3,0.4,1.3,1.3,10.5,22.2,28,49.8,Arcilla,Arcillosa,0.1,1,16.5,24.7,0.8,63.5,0,0
5,Feozem,Temporal,BAJA CALIFORNIA,Ensenada,32.05538,-116.81692,Mexicali,6,1.1,1.2,1.4,6.3,56.2,28,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.7,5,2.1,0.7,15.7,0.2,0
6,Feozem,Temporal,BAJA CALIFORNIA,Ensenada,31.9914,-116.72451,Mexicali,8.3,0.4,3.2,1.3,4.2,38.2,12,49.8,Arcilla,Arcillosa,0.1,1.1,53.6,3.1,0.4,62.4,0,0
7,Regosol,Temporal,BAJA CALIFORNIA,Ensenada,31.99873,-116.64077,Mexicali,6.5,0.9,1.2,1.7,5.2,58.2,28,13.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.2,5.6,1.2,0.1,17.8,0,0
9,Regosol,Temporal,BAJA CALIFORNIA,Ensenada,31.86325,-116.53998,Mexicali,6.6,0.5,1.6,1.7,6.3,60.2,26,13.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.6,4.4,0.8,0.1,24.9,0,0
10,Planosol,Temporal,BAJA CALIFORNIA,Ensenada,31.89197,-116.20526,Mexicali,7.7,3.1,0.7,1.7,17.8,80.2,10,9.8,Arena Migajosa,Arena y Areno franco,0.1,0.8,5.6,1.1,0.4,9.1,0.1,0
15,Planosol,Temporal,BAJA CALIFORNIA,Ensenada,30.88378,-116.17279,Mexicali,7.9,10.1,1.6,1.7,8.4,58.2,14,27.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.3,15.4,5.5,12.4,19.7,1.1,0.6
17,Xerosol,Temporal,CHIHUAHUA,Janos,30.79204,-108.30519,Juarez,7.6,0.5,2.6,1.2,25.2,20.2,40,39.8,Arcilla Limosa,Arcillo arenosa y Arcillo limosa,0.1,1.5,26.1,7.1,0.3,36.3,0,0
72,Fluvisol,Temporal,CHIHUAHUA,Chihuahua,29.04981,-106.40798,Chihuahua,7.6,0.7,5.9,1.2,86.6,42.2,16,41.8,Arcilla,Arcillosa,0.2,4.3,26.4,8.4,0.1,26.4,0,0
80,Litosol,Temporal,CHIHUAHUA,Chihuahua,28.90758,-106.32086,Chihuahua,8.2,0.2,1.4,1.7,40.3,76.2,8,15.8,Migajon Arenoso,Franco arenosa y franco,0,0.7,11,1.9,0,8.2,0,0
81,Xerosol,Temporal,CHIHUAHUA,Chihuahua,28.90974,-106.23878,Chihuahua,5.6,0.3,1.7,1.6,30.8,54.2,18,27.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.7,4.4,2.9,0,6.8,0,0
82,yermosol,Temporal,SONORA,Hermosillo,28.60675,-111.64201,Hermosillo,8.2,0.4,1.2,1.7,14.7,56.2,34,9.8,Migajon Arenosa,Franco arenosa y franco,0,1.4,19.6,0.6,0.1,7,0,0
86,Feozem,Temporal,CHIHUAHUA,Riva Palacio,28.82156,-106.81052,Chihuahua,4.8,0.8,2,1.5,51.7,62.2,20,17.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.4,3.8,2.3,0.2,6.2,0,0
89,yermosol,Temporal,SONORA,Hermosillo,28.53945,-111.55482,Hermosillo,8.3,0.7,1.6,1.4,12.6,38.2,34,27.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,3.2,28.1,4.6,0.3,17.9,0,0
94,Feozem,Temporal,CHIHUAHUA,Cuauhtemoc,28.67709,-106.80503,Chihuahua,5.5,0.1,2.5,1.6,51.7,42.2,24,33.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,0.9,9.9,6.3,0.1,14.4,0,0
101,Litosol,Temporal,CHIHUAHUA,Chihuahua,28.55471,-105.98113,Chihuahua,5.1,3.8,3.6,1.4,26.8,62.2,18,19.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.8,9.9,3.2,0.1,6.6,0,0
102,Feozem,Temporal,CHIHUAHUA,Cuauhtemoc,28.45539,-106.96036,Chihuahua,5.7,0.3,3.1,1.5,43.7,58.2,12,29.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.8,4.2,1.3,0.1,6.4,0,0
103,Planosol,Temporal,CHIHUAHUA,Cuauhtemoc,28.46271,-106.71502,Chihuahua,7,0.2,1.4,1.7,78.5,82.2,6,11.8,Arena migajosa,Arena y Areno franco,0,0.6,4.2,1.5,0,4.2,0,0
104,Litosol,Temporal,CHIHUAHUA,Riva Palacio,28.46738,-106.55145,Chihuahua,6.6,0.2,3.1,1.6,27.8,70.2,14,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.8,4.4,1.9,0,3.8,0,0
106,Xerosol,Temporal,CHIHUAHUA,Julimes,28.49372,-105.48796,Chihuahua,8.4,0.3,1.4,1.6,56.4,62.2,6,31.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0,0.9,40.1,4.6,0.9,12.6,0,0.1
113,Planosol,Temporal,CHIHUAHUA,Cuauhtemoc,28.38312,-106.95753,Chihuahua,5.1,1.4,3.1,1.5,12.9,56.2,16,27.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.9,7.2,3,0.1,7.4,0,0
114,Feozem,Temporal,CHIHUAHUA,Santa Isabel,28.39738,-106.46711,Chihuahua,5.5,0.1,2.2,1.5,40.7,50.2,20,29.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.1,5.7,2.9,0,7.2,0,0
115,Feozem,Temporal,CHIHUAHUA,Chihuahua,28.40395,-106.22186,Chihuahua,5,0.4,1.4,1.6,49.7,52.2,18,29.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0,1.5,3.8,2.5,0,6.8,0,0
120,Feozem,Temporal,CHIHUAHUA,Cusihuiriachi,28.30832,-107.03638,Chihuahua,5,0.2,2.8,1.6,22.8,66.2,12,21.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.6,3.8,1.1,0,4.6,0,0
121,Cambisol,Temporal,CHIHUAHUA,Cusihuiriachi,28.31084,-106.9547,Chihuahua,5.1,0.2,1.7,1.5,33.8,46.2,22,31.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.6,4.8,2.3,0.3,6.2,0.1,0
122,Regosol,Temporal,CHIHUAHUA,Cusihuiriachi,28.31815,-106.70965,Chihuahua,6.1,0.3,1.7,1.6,44.7,68.2,14,17.8,Migajon Arenoso,Franco arenosa y franco,0.1,1,4.9,2.5,0,6.6,0,0
123,Feozem,Temporal,CHIHUAHUA,Gran Morelos,28.3205,-106.62796,Chihuahua,5.9,0.1,4.2,1.6,69.5,66.2,18,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.8,4.2,3.2,0,5.2,0,0
124,Feozem,Temporal,CHIHUAHUA,Gran Morelos,28.32282,-106.54626,Chihuahua,5.9,0.2,3.6,1.6,25.8,56.2,24,19.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.1,4.8,3,0,6.6,0,0
125,Feozem,Temporal,CHIHUAHUA,Santa Isabel,28.32732,-106.38287,Chihuahua,7.4,0.4,1.4,1.6,9.1,64.2,18,17.8,Migajon Arenoso,Franco arenosa y franco,0,0.8,11.8,3.6,0,10,0,0
126,Feozem,Temporal,CHIHUAHUA,Santa Isabel,28.33166,-106.21946,Chihuahua,6,0.2,2.2,1.5,49.7,56.2,14,29.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.5,4,3.4,0,7.8,0,0
127,Regosol,Temporal,CHIHUAHUA,Chihuahua,28.33376,-106.13775,Chihuahua,5.9,0.1,4.7,1.7,9.9,70.2,16,13.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.5,3,2.3,0,4.6,0,0
130,Feozem,Temporal,CHIHUAHUA,Cusihuiriachi,28.23603,-107.03352,Chihuahua,4.8,0.1,1.7,1.5,41.7,46.2,16,37.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,0.1,0.8,3.2,2.9,0,6.4,0,0
131,Feozem,Temporal,CHIHUAHUA,Gran Morelos,28.25052,-106.54367,Chihuahua,5.7,0.5,2,1.7,46.7,68.2,16,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.8,3.6,0.6,0,4.6,0,0
132,Feozem,Temporal,CHIHUAHUA,Chihuahua,28.26146,-106.13539,Chihuahua,4.9,0.1,1.1,1.8,34.8,78.2,10,11.8,Migajon Arenoso,Franco arenosa y franco,0,0.5,1.5,2.1,0,2.8,0,0
134,Vertisol,Temporal,CHIHUAHUA,Cusihuiriachi,28.16625,-106.94907,Chihuahua,6.8,0.3,2.2,1.3,43.7,12.2,8,79.8,Arcilla,Arcillosa,0.1,3.2,22,11.6,0.9,32.2,0.1,0
135,Regosol,Temporal,CHIHUAHUA,Dr. Belisario Dominguez,28.18049,-106.45948,Chihuahua,7.8,1.3,2,1.6,53.6,64.2,20,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.1,9.9,3.2,0.3,5.4,0,0
136,Feozem,Temporal,CHIHUAHUA,Chihuahua,28.18915,-106.13304,Chihuahua,5.4,0.5,1.4,1.6,27.8,72.2,10,17.8,Migajon Arenoso,Franco arenosa y franco,0,0.9,3,2.3,0,5.6,0,0
138,Rendzina,Temporal,CHIHUAHUA,Satevo,28.11684,-106.13069,Chihuahua,6.4,0.1,1.4,1.7,13.9,70.2,14,15.8,Migajon Arenoso,Franco arenosa y franco,0,0.8,2.9,3,0,3.8,0,0
141,Feozem,Temporal,CHIHUAHUA,Dr. Belisario Dominguez,28.03358,-106.53593,Chihuahua,7.4,0.3,2.8,1.3,46.3,20.2,28,51.8,Arcilla,Arcillosa,0.1,0.9,28.7,9.3,0.1,13,0,0
142,Feozem,Temporal,CHIHUAHUA,Satevo,28.04241,-106.20986,Chihuahua,8.3,0.3,1.4,1.6,32.2,72.2,10,17.8,Migajon Arenoso,Franco arenosa y franco,0,1,30.4,3.2,0.1,31.6,0,0
146,Regosol,Temporal,CHIHUAHUA,San Francisco de Borja,27.9566,-106.69627,Chihuahua,5.6,0.2,1.7,1.4,34.8,70.2,14,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.7,4.9,1.7,0,5.4,0,0
153,Casta?ozem,Temporal,COAHUILA,Muzquiz,27.87953,-101.56109,Piedras negras,8.5,0.7,5.4,1.3,33.3,33.5,32,34.5,Migajon arcilloso,Franco arcillo arenoso y Franco arcilloso,0.2,0.4,25,1.3,0,16.7,0,0
159,Vertisol,Temporal,SONORA,Quiriego,27.41088,-109.60051,Obregon,8.7,0.3,1.3,1.4,4.2,38.2,16,45.8,Arcilla,Arcillosa,0.1,1.3,44.6,4.9,1,34.1,0,0
163,Feozem,Temporal,CHIHUAHUA,Rosario,27.3166,-106.26712,Torreón,8,0.4,1.2,1.6,2,70.8,12,17.2,Migajon arenoso,Franco arenosa y franco,0.1,1,36.4,1.8,0.9,17.7,0,0
165,Feozem,Temporal,CHIHUAHUA,Rosario,27.17178,-106.2623,Torreón,7.9,0.6,1.5,1.5,0,56.8,26,17.2,Migajon arenoso,Franco arenosa y franco,0,0.5,36.7,3.2,1.1,19.3,0,0.1
166,Feozem,Temporal,CHIHUAHUA,Rosario,27.17392,-106.18133,Torreón,8.1,0.3,0.8,1.7,2,66.8,22,11.2,Migajon arenoso,Franco arenosa y franco,0.1,0.4,19.6,1.5,1.3,19.9,0.1,0.1
167,Regosol,Temporal,COAHUILA,Escobedo,27.22622,-101.15813,Piedras negras,9,0.4,2.3,1.4,43.1,35.5,32,32.5,Migajon arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,0.8,25.9,1,0,7.3,0,0
168,Feozem,Temporal,CHIHUAHUA,El Tule,27.09719,-106.34082,Torreón,8.1,0.4,1.4,1.3,2,38.8,20,41.2,Arcilla,Arcillosa,0.1,1.6,41.6,2.8,1,44,0,0
170,Rendzina,Temporal,CHIHUAHUA,Lopez,27.12388,-105.20771,Torreón,8.2,1.1,2.9,1.2,8.2,18.9,24,57.1,Arcilla,Arcillosa,0.1,1.1,46.2,7,1.6,25.4,0,0.1
171,Vertisol,Temporal,SONORA,Navojoa,26.91202,-109.40908,Obregon,8.3,1,2.3,1.4,19.9,36.2,40,23.8,Franco,Franco arenosa y franco,0.1,2.3,24,4.3,0.2,26.7,0,0
173,Cambisol,Temporal,CHIHUAHUA,El Tule,27.02694,-106.25749,Torreón,8,0.3,0.3,1.3,2,76.8,10,13.2,Migajon arenoso,Franco arenosa y franco,0,0.3,10.4,0.7,0.2,7.6,0,0
176,Xerosol,Temporal,SONORA,Navojoa,26.85068,-109.16283,Obregon,7.3,0.3,1.2,1.4,27.3,36.2,34,29.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.7,15.3,4.8,0.1,21,0,0
177,Vertisol,Temporal,SONORA,Navojoa,26.77465,-109.23945,Obregon,8.5,0.8,2.4,1.6,16.8,66.2,18,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,2.3,17.2,3,0.3,15,0,0
179,Cambisol,Temporal,CHIHUAHUA,Balleza,26.88207,-106.25269,Torreón,7,0.4,0.5,1.3,0,62.8,18,19.2,Migajon arenoso,Franco arenosa y franco,0,0.5,10.5,3.5,0.4,18.3,0.1,0
180,Xerosol,Temporal,CHIHUAHUA,Lopez,26.90971,-105.04065,Torreón,7.9,0.6,2.2,1.3,8.1,32.8,32,35.2,Migajon arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1,29.5,3.8,1.2,33.9,0.1,0
183,Xerosol,Temporal,COAHUILA,Frontera,26.93777,-101.48345,Piedras negras,8.7,0.6,2.8,1.3,41.2,47.5,26,26.5,Migajon Arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.6,20,1.3,0,8.7,0,0
184,Xerosol,Temporal,COAHUILA,Monclova,26.93716,-101.32174,Piedras negras,8.7,1.1,4.1,1.2,45.1,31.5,30,38.5,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.2,0.7,20.2,2.1,0.5,9.5,0,0
186,Feozem,Temporal,CHIHUAHUA,Santa Barbara,26.82366,-105.68506,Torreón,7.7,0.4,1.6,1.4,2,34.8,21.3,44,Arcilla,Arcillosa,0.1,1.2,28.7,4.4,0.8,35.6,0,0
187,Xerosol,Temporal,CHIHUAHUA,Matamoros,26.8255,-105.6043,Torreón,6.3,0.7,2.7,1.3,22.1,22.8,35.3,42,Arcilla,Arcillosa,0.1,1,13.3,2.9,0.8,30,0.1,0
195,Feozem,Temporal,CHIHUAHUA,Matamoros,26.7512,-105.68299,Torreón,7,1,1.6,1.3,20.3,18.8,35.3,46,Arcilla,Arcillosa,0.1,0.9,49.9,2.5,0.7,32.6,0,0
196,Xerosol,Temporal,CHIHUAHUA,Matamoros,26.75304,-105.60227,Torreón,6.1,0.4,0.8,1.5,18.1,52.8,23.3,24,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.7,6.3,2.5,0.6,13.4,0.1,0
202,yermosol,Temporal,SONORA,Huatabampo,26.56109,-109.14673,Los Mochis,8.7,0.5,1.1,1.5,14.4,52.8,14,33.2,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.3,33.1,7.1,2.1,33.8,0.1,0.1
203,Feozem,Temporal,DURANGO,Ocampo,26.67297,-105.9229,Torreón,5.4,0.3,1.1,1.6,27.2,54.8,27.3,18,Migajon arenoso,Franco arenosa y franco,0.1,0.8,4.5,1,0.5,8.5,0.2,0.1
206,Xerosol,Temporal,DURANGO,Coronado,26.62135,-104.95317,Torreón,7.7,0.3,2.1,1.3,4.1,30.8,19.3,50,Arcilla,Arcillosa,0,0.8,23.2,2.7,1.2,33.7,0.1,0
207,Xerosol,Temporal,DURANGO,Coronado,26.62283,-104.87253,Torreón,8,0.4,2.5,1.4,2,20.8,37.3,42,Arcilla,Arcillosa,0.1,1.5,56.5,2.8,0.7,40.4,0,0
208,Xerosol,Temporal,DURANGO,Coronado,26.62426,-104.79189,Torreón,8,0.4,3.8,1.3,2,22.8,31.3,46,Arcilla,Arcillosa,0.2,1.6,59.2,1.9,0.5,38,0,0
211,yermosol,Temporal,DURANGO,Mapimi,26.63314,-104.22734,Torreón,8.2,4,1.4,1.3,14.2,12.8,17.3,70,Arcilla,Arcillosa,0.1,1.5,56.9,3.6,6.2,34.9,0.2,0.2
212,Cambisol,Temporal,SINALOA,El Fuerte,26.44052,-108.5756,Los Mochis,6.6,0.3,1.3,1.7,11.1,76.8,14,9.2,Migajon arenoso,Franco arenosa y franco,0.1,0.1,3.8,1.6,0.2,8.6,0.1,0
213,Rendzina,Temporal,DURANGO,Coronado,26.54736,-105.0321,Torreón,8.2,0.3,1.4,1.4,2,62.8,13.3,24,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.5,43.5,0.7,1.2,20.2,0,0.1
215,Cambisol,Temporal,SINALOA,El Fuerte,26.36808,-108.57191,Los Mochis,7.9,0.5,2.9,1.1,10.3,32.8,24,43.2,Arcilla,Arcillosa,0.2,0.7,42.7,5.5,0.4,45.6,0,0
218,Feozem,Temporal,DURANGO,Ocampo,26.46495,-105.51365,Torreón,6.8,0.3,0.8,1.6,21.1,72.8,15.3,12,Migajon arenoso,Franco arenosa y franco,0.1,1.2,49,1.7,1,28.5,0,0
219,Xerosol,Temporal,DURANGO,Hidalgo,26.47785,-104.8693,Torreón,8,1,2.2,1.6,10.1,70.8,15.3,14,Migajon arenoso,Franco arenosa y franco,0.1,2.6,35.8,2.6,0.9,23.6,0,0
221,Xerosol,Temporal,DURANGO,Mapimi,26.48816,-104.22484,Torreón,7.8,5,1.4,1.3,6.1,4.8,35.3,60,Arcilla,Arcillosa,0.1,2.4,57.1,5,3,34,0.1,0.1
222,Xerosol,Temporal,DURANGO,Mapimi,26.48926,-104.14428,Torreón,8.2,0.7,0.8,1.3,6.1,16.8,39.3,44,Arcilla,Arcillosa,0.1,2.6,48.9,4.5,0.8,32.9,0,0
223,yermosol,Temporal,DURANGO,Mapimi,26.49135,-103.98314,Torreón,7.9,7.3,1.9,1.3,0,14.8,37.3,48,Arcilla,Arcillosa,0.1,1.2,75.5,8.9,8.4,35.7,0.2,0.2
224,Xerosol,Temporal,COAHUILA,Castaqos,26.50225,-101.32403,Piedras negras,8.8,0.3,3.1,1.3,37.3,19.5,40,40.5,Arcilla Limosa,Arcillo arenosa y Arcillo limosa,0.1,0.8,3.8,1.1,0,14.9,0,0
225,Solonchak,Temporal,SINALOA,Ahome,26.26778,-109.21104,Los Mochis,7.5,0.5,0.3,1.6,18.5,86.8,4,9.2,Arena migajosa,Arena y Areno franco,0,0.5,2.7,1.2,0,7,0,0
226,Feozem,Temporal,SINALOA,El Fuerte,26.29564,-108.56823,Los Mochis,7.1,0.5,1.8,1.4,12.3,62.8,18,19.2,Migajon arenoso,Franco arenosa y franco,0.1,0.4,10.3,3.4,0.4,26.5,0,0
229,Regosol,Temporal,DURANGO,Jimenez,26.40953,-104.62617,Torreón,8.3,2.6,1.6,1.3,6.1,18.8,29.3,52,Arcilla,Arcillosa,0.1,1.6,48.3,9.8,2.9,28.5,0.1,0.1
230,Xerosol,Temporal,DURANGO,Mapimi,26.41451,-104.30411,Torreón,8.2,2.3,1.9,1.3,10.1,12.8,51.3,36,Migajon Arcillo Limoso,Franco limoso y Franco arcillo limoso,0.1,2,53.6,3.9,1.6,25.8,0,0.1
234,Solonchak,Temporal,SINALOA,Ahome,26.19535,-109.207,Los Mochis,7.2,0.3,0.3,1.6,18.5,88.8,4,7.2,Arena,Arena y Areno franco,0,0.2,2.2,1.3,0,12.5,0,0
235,Xerosol,Temporal,DURANGO,Hidalgo,26.33286,-104.86608,Torreón,8.2,0.3,1.9,1.3,6.1,22.8,27.3,50,Arcilla,Arcillosa,0.1,1.2,51.4,3,0.8,32.5,0,0
238,Solonchak,Temporal,SINALOA,Ahome,26.12291,-109.20297,Los Mochis,7.4,0.3,0.5,1.7,6.2,84.8,8,7.2,Arena migajosa,Arena y Areno franco,0,0.1,0.9,0.4,0,6.6,0,0
240,Casta?ozem,Temporal,DURANGO,San Bernardo,26.24384,-105.66853,Torreón,7,0.4,1.1,1.5,6.1,66.8,11.3,22,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.7,14.3,3.3,0.3,27.7,0,0
241,Regosol,Temporal,DURANGO,Tlahualilo,26.27751,-103.65807,Torreón,8,4.4,1.4,1.3,32.4,26.8,37.3,36,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,4.6,56.6,8.5,3,28.9,0.1,0.1
244,Xerosol,Temporal,DURANGO,Hidalgo,26.18487,-105.02361,Torreón,8.1,0.8,3.3,1.3,4.1,32.8,19.3,48,Arcilla,Arcillosa,0.1,1.5,59.7,2.8,1.3,43.6,0,0
245,Xerosol,Temporal,DURANGO,Mapimi,26.19699,-104.30023,Torreón,8,5.7,1.4,1.3,4.1,8.8,33.3,58,Arcilla,Arcillosa,0.1,1.5,53.4,6.6,4.3,23.4,0.1,0.2
252,Xerosol,Temporal,DURANGO,Ocampo,26.10592,-105.34318,Torreón,5.9,0.2,2.2,1.4,18.1,46,18,36,Arcilla arenosa,Arcillo arenosa y Arcillo limosa,0.1,0.9,9,2,0.7,16.2,0.1,0
253,Xerosol,Temporal,DURANGO,Hidalgo,26.11387,-104.94159,Torreón,8.2,0.3,2.5,1.3,2,20.8,25.3,54,Arcilla,Arcillosa,0.1,0.8,14.1,1.9,0.5,17.2,0,0
263,Casta?ozem,Temporal,DURANGO,San Bernardo,26.02995,-105.50185,Torreón,7.7,0.3,0.8,1.3,0,44.8,29.3,26,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0,0.8,14.3,2,0.5,20.5,0.1,0
264,Rendzina,Temporal,DURANGO,Inde,26.03508,-105.26104,Torreón,6.2,0.2,2.2,1.3,22.1,44.8,27.3,28,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.7,12.2,3.3,1,28.1,0.1,0
266,Xerosol,Temporal,NUEVO LEON,Doctor Coss,26.04018,-98.99767,Monterrey,8.7,0.2,0.9,1.5,3.9,71.5,14,14.5,Migajon Arenoso,Franco arenosa y franco,0.1,0.3,26.8,0.9,0.1,7.1,0,0
267,Vertisol,Temporal,TAMAULIPAS,Matamoros,26.01494,-97.87399,Matamoros,7.8,4.6,2.9,1.3,26.2,8.2,24.7,67.1,Arcilla,Arcillosa,0.1,1.9,25.9,7.2,2.2,17.6,0.1,0.1
269,Vertisol,Temporal,SINALOA,Sinaloa,25.85756,-108.6263,Los Mochis,7.9,0.4,1.1,1.4,6.2,24.8,30,45.2,Arcilla,Arcillosa,0.1,0.5,13.5,7.2,0.7,37.7,0.1,0
270,Luvisol,Temporal,SINALOA,Sinaloa,25.87064,-108.30588,Los Mochis,6,0.6,2.6,1.6,10.3,52.9,25.3,21.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.7,4.7,1.4,0.5,9.8,0.1,0
271,Rendzina,Temporal,DURANGO,Inde,25.96418,-105.17899,Torreón,8.3,0.4,0.5,1.3,6.1,46.8,23.3,30,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.3,77.6,4.9,0.9,62.7,0,0
273,Xerosol,Temporal,NUEVO LEON,Doctor Coss,25.96915,-99.07958,Monterrey,9.3,0.6,0.9,1.4,5.9,55.5,20,24.5,Migajon Arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.5,26.6,1.6,1.3,9.3,0.1,0.1
274,Solonchak,Temporal,SINALOA,Ahome,25.757,-109.26287,Los Mochis,5.7,0.7,0.5,1.5,70.5,80.8,8,11.2,Migajon arenoso,Franco arenosa y franco,0,0.3,1.9,1.2,0.1,13.5,0.1,0
275,Luvisol,Temporal,SINALOA,Sinaloa,25.79816,-108.30236,Los Mochis,7.1,0.5,3.2,1.4,18.5,22.9,29.3,47.8,Arcilla,Arcillosa,0.1,0.5,15.3,4.7,1.3,20.2,0.1,0.1
276,Cambisol,Temporal,SINALOA,Sinaloa,25.80133,-108.22229,Los Mochis,7.2,0.8,2.6,1.5,20.5,36.9,26,37.1,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.1,12.1,2.8,0.7,14.8,0.1,0
278,Rendzina,Temporal,DURANGO,Inde,25.89324,-105.09703,Torreón,8.1,0.7,2.7,1.3,2,52.8,19.3,28,Migajon arenoso,Franco arenosa y franco,0.1,1.1,43.6,1.3,0.4,33.6,0,0
279,Rendzina,Temporal,DURANGO,Hidalgo,25.89776,-104.85647,Torreón,7.7,0.4,4.1,1.3,4.1,24.8,35.3,40,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.2,2.3,33.3,2.4,0.6,38.4,0,0
282,Xerosol,Temporal,NUEVO LEON,Doctor Coss,25.89513,-99.00103,Monterrey,8.6,0.4,1.2,1.3,11.8,65.5,12,22.5,Migajon Arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0,0.7,23.9,1.2,0.1,8.7,0,0
284,Solonchak,Temporal,TAMAULIPAS,Matamoros,25.85434,-97.31758,Matamoros,8.3,0.3,1.8,1.4,2,6.2,16.7,77.1,Arcilla,Arcillosa,0.1,1.6,29.9,3.4,0.4,22.2,0,0
285,Solonchak,Temporal,TAMAULIPAS,Matamoros,25.85195,-97.23744,Matamoros,8.4,11.4,1.5,1.3,2,6.2,40.7,53.1,Arcilla Limosa,Arcillo arenosa y Arcillo limosa,0.1,0.9,14.1,7.3,12.1,18,1.1,0.7
286,Vertisol,Temporal,SINALOA,Sinaloa,25.72884,-108.21881,Los Mochis,7.8,0.2,2.9,1.6,2.1,40.9,20,39.1,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.2,0.3,39.5,1.9,0.5,22.5,0,0
287,Luvisol,Temporal,SINALOA,Sinaloa,25.73197,-108.13878,Los Mochis,7.5,0.5,3.2,1.6,4.1,48.9,20,31.1,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.3,27.6,2.3,0.5,20.4,0,0
288,Luvisol,Temporal,SINALOA,Sinaloa,25.73505,-108.05875,Los Mochis,8,0.4,2.6,1.4,2.1,26.9,24,49.1,Arcilla,Arcillosa,S/D,0.3,50.6,2.6,0.8,33,0,0
289,Feozem,Temporal,DURANGO,El Oro,25.81583,-105.33571,Torreón,6.4,0.3,0.3,1.8,17.1,72.8,15.3,12,Migajon Arenoso,Franco arenosa y franco,0,0.5,4.2,0.9,0.1,9.3,0,0
290,Feozem,Temporal,DURANGO,Inde,25.82071,-105.0953,Torreón,8.1,0.5,1.9,1.3,4.1,38.8,9.3,52,Arcilla,Arcillosa,0.1,1.5,61.8,1.3,0.5,57.6,0,0
