ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
3389,Feozem,Riego,CHIHUAHUA,Ascension,31.05443,-108.02594,Juarez,6.9,1.4,1.1,1.3,25.2,30.2,20,49.8,Arcilla,Arcillosa,0.1,2,15.3,4.8,1.5,32.7,0.1,0
3390,Xerosol,Riego,CHIHUAHUA,Ascension,31.05669,-107.96334,Juarez,8.5,1,0.8,1.4,17.8,50.2,14,35.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,0.1,1.6,38.4,3.2,1.4,19.2,0.1,0.1
3391,Regosol,Riego,SONORA,Caborca,30.76052,-112.77044,Hermosillo,8.4,1.4,0.8,1.8,10.3,64.9,26,9.1,Migajon Arenoso,Franco arenosa y franco,0,1.1,15.4,1.7,1.5,8,0.1,0.2
3392,Regosol,Riego,SONORA,Caborca,30.78048,-112.45874,Hermosillo,7.9,14.5,1.3,1.6,10.5,73,14,13,Migajon Arenoso,Franco arenosa y franco,0.1,1.2,12.1,3.6,2.6,7.5,0.3,0.3
3394,Xerosol,Riego,CHIHUAHUA,Janos,30.97166,-108.774,Juarez,6,2,1.6,1.7,25.2,48.2,30,21.8,Franco,Franco arenosa y franco,0,1.9,4.8,1.4,0.1,10.3,0,0
3395,Xerosol,Riego,CHIHUAHUA,Janos,30.97671,-108.64891,Juarez,8.8,1.9,0.8,1.4,16.8,44.2,28,27.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,2.7,32.9,2.6,3.3,27.2,0.1,0.1
3396,Xerosol,Riego,CHIHUAHUA,Janos,30.99596,-108.14845,Juarez,8.3,1.3,1.1,1.5,4.2,30.2,44,25.8,Franco,Franco arenosa y franco,0.1,1.2,21.6,4.5,1.3,27.7,0.1,0
3397,Planosol,Riego,BAJA CALIFORNIA,Ensenada,30.47501,-115.87533,Mexicali,8.4,0.6,0.4,1.6,19.9,72.2,18,9.8,Migajon Arenoso,Franco arenosa y franco,0,0.6,7.8,1.6,1.5,7,0.3,0.2
3399,Regosol,Riego,SONORA,Caborca,30.72664,-112.45419,Hermosillo,7.9,7,0.8,1.7,9.2,58.9,20,21.1,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0,0.6,8.9,3.8,2.9,11.4,0.4,0.3
3400,Xerosol,Riego,CHIHUAHUA,Janos,30.92281,-108.64601,Juarez,8.2,2.7,2.8,1.3,19.9,24.2,30,45.8,Arcilla,Arcillosa,0.1,1.9,17.6,5.9,4.5,24.5,0.3,0.2
