pid,x,y,year,kod_t
P2990,635851.8,4591823.5,1951,135.229
P2991,635081.5,4590933,1951,135.227
P2993,636354.3,4590152.4,1951,135.252
P2995,633708.3,4592249,1951,135.225
P2996,633347.6,4592525.1,1951,135.223
P2997,633716.7,4594024.3,1951,135.222
P2999,642047.5,4595166.8,1951,135.264
P3000,640954.1,4595456.1,1951,135.263
P3001,643520.4,4594362.8,1951,135.126
P3003,643663.1,4596399.2,1951,135.266
P3011,648325.9,4590718.2,1951,135.111
P3012,647612.1,4590605.5,1951,135.112
P3014,649258.9,4586294,1951,135.70
P3015,650130.6,4586237.6,1951,135.68
P1792,497062.1,4542239.6,1952,106A.6
P1795,495609.8,4541066,1952,106A.4
P1796,498392.3,4543198.1,1952,106A.5
P1797,497705.7,4544199.6,1952,106A.19
P1798,498552.3,4544690,1952,106A.21
P1799,497194.6,4541690.7,1952,106A.2
P1802,497850.2,4542134.6,1952,106A.8
P1803,498201.3,4542418.6,1952,106A.3
P1804,498970.5,4542687,1952,106A.13
P1805,498960.2,4543771.1,1952,106A.17
P1806,499693.2,4543683.4,1952,106A.15
P1807,500343.7,4543900.2,1952,106A.24
P1808,499781,4544597.1,1952,106A.18
P1809,500292,4544948.2,1952,106A.22
P1812,501716.9,4543693.7,1952,106A.76
P1815,501458.8,4541066,1952,106A.88
P1816,501809.8,4541964.3,1952,106A.83
P1818,503673.4,4541159,1952,106A.92
P1819,503229.5,4541886.9,1952,106A.93
P1820,504277.4,4541215.7,1952,106A.110
P1821,504835,4540508.5,1952,106A.106
P1822,505113.7,4543156.8,1952,106A.69
P1823,507870.5,4533250.1,1952,106A.105
P1825,508520.9,4532455.1,1952,106A.107
P1827,510064.5,4528082.6,1952,106A.100
P1830,510585.9,4527989.7,1952,106A.101
P1832,502702.9,4544783,1952,106A.77
P1835,501618.8,4544638.4,1952,106A.78
P1840,500292,4546935.7,1952,106A.28
P1842,501350.3,4547193.8,1952,106A.54
P1844,501928.5,4546853.1,1952,106A.52
P1846,503528.9,4546465.9,1952,106A.47
P1848,503792.2,4547142.2,1952,106A.61
P1850,504391,4547395.1,1952,106A.63
P1852,504613,4547932,1952,106A.64
P1854,502775.2,4548587.7,1952,106A.59
P1856,500462.4,4547952.7,1952,106A.30
P1858,499218.3,4547369.3,1952,106A.36
P1860,499197.6,4548283.1,1952,106A.34
P1862,498665.9,4549460.1,1952,106A.29
P1867,501840.8,4550332.5,1952,106A.33
P1870,502625.4,4551153.4,1952,106A.37
P1871,502279.6,4551442.5,1952,106A.39
P1872,503002.3,4550662.9,1952,106A.35
P1873,498340.7,4550647.5,1952,106A.23
P1874,498991.1,4550311.9,1952,106A.25
P1876,501307.8,4553889.9,1952,106A.42
P1877,501794.3,4552329.7,1952,106A.44
P1884,501458.8,4543141.3,1952,106A.84
P1885,504267.1,4539672.2,1952,106A.108
P1886,510136.8,4526564.8,1952,106A.95
P1887,503528.9,4547906.2,1952,106A.45
P4507,500939.3,4541516.9,1952,106A.86
P4509,508295,4530794,1952,106A.102
P4510,507683.8,4531936.2,1952,106A.104
P4511,508782.8,4533035.3,1952,106A.103
P4614,471579.9,4566310.3,1953,093.66
P4626,472395.5,4567505.4,1953,093.53A
P4628,476590.8,4562676.2,1953,093.18
P4632,476615.1,4561292.6,1953,093.20
P4633,476363.6,4559150.2,1953,093.82
P4636,479049.6,4561333.2,1953,093.4
P4643,477735,4563142.8,1953,093.16
P4644,478702.7,4565528.7,1953,093.37
P4646,477705.1,4566454.1,1953,093.41
P4652,480373.4,4567246.7,1953,093.44
P4653,474363.5,4567867.1,1953,093.49
P4654,474984.3,4566449,1953,093.48
P4659,480403.2,4564703.3,1953,093.10
P4660,481227.8,4565707.5,1953,093.12
P4661,479667.1,4560793.5,1953,093.2
P4664,478734.2,4559370.4,1953,093.3
P5555,592907.6,4595977.3,1953,126.121
P5560,594717.1,4596850.2,1953,126.125
P5562,595149.4,4597668.1,1953,126.122
P5566,596441.9,4594320.3,1953,126.133
P5569,596607.2,4593273.5,1953,126.139
P5573,597781.1,4592404.8,1953,126.143
P5585,601018.3,4588227,1953,126.156
P5588,601628.5,4588761,1953,126.163
P5589,601720.6,4588405,1953,126.168
P1457,603768.7,4637736.2,1953,072.32
P1458,605458.2,4639712.4,1953,072.31
P1459,606248.7,4638619.7,1953,072.30
P1460,604721.9,4636875.9,1953,072.45A
P1461,604962.2,4636550.4,1953,072.45
P1462,605140.4,4636488.4,1953,072.46
P1463,605589.9,4636379.9,1953,072.44
P1467,607223.3,4636031.2,1953,072.59
P1468,607136.1,4635635.9,1953,072.59A
P1469,607467.4,4635322.1,1953,072.107
P1470,607775.4,4635635.9,1953,072.126
P1471,607996.3,4635374.4,1953,072.108
P1472,608188.1,4636292.7,1953,072.60
P1473,608734.5,4637135.6,1953,072.62
P1475,608839.1,4636531.1,1953,072.109
P1476,606851.3,4637327.4,1953,072.128
P1478,607043.1,4638251.6,1953,072.40
P1479,608147.4,4637914.4,1953,072.130
P1481,607548.8,4639222.2,1953,072.37
P1482,608193.9,4638914.2,1953,072.35
P1483,608827.5,4638460.8,1953,072.36
P1484,609635.4,4638815.4,1953,072.34
P1485,609019.3,4638309.7,1953,072.33
P1486,608379.9,4637780.7,1953,072.61
P1487,610152.8,4637955.1,1953,072.129
P1488,608850.8,4640547.5,1953,072.28
P1489,608885.6,4639931.4,1953,072.27
P1490,609536.6,4639518.7,1953,072.29
P1491,610083,4639600.1,1953,072.23
P1492,610309.7,4641146.2,1953,072.20
P1493,611164.1,4640268.5,1953,072.22
P1494,611954.6,4639948.8,1953,072.24
P1495,610774.7,4637333.2,1953,072.112
P1496,611600.1,4637699.4,1953,072.114
P1497,612570.8,4637873.7,1953,072.49
P1498,612669.6,4637193.7,1953,072.50
P1499,613413.6,4637652.9,1953,072.47
P1500,609112.3,4634665.2,1953,072.85A
P1501,608577.6,4634316.5,1953,072.85
P1502,609501.8,4634798.9,1953,072.82
P1503,609402.9,4635322.1,1953,072.83
P1504,610193.4,4635810.3,1953,072.86
P1505,610396.9,4635124.4,1953,072.87
P1506,611495.4,4635920.7,1953,072.81
P1507,610274.8,4636548.5,1953,072.111
P1508,613285.7,4635595.2,1953,072.80
P1509,613070.6,4636583.4,1953,072.88
P1510,615017.8,4635083.7,1953,072.78
P1511,614459.8,4635821.9,1953,072.79
P1512,614884.1,4636676.4,1953,072.124
P1513,614831.8,4638164.4,1953,072.52
P1514,616842.9,4635141.9,1953,072.76
P1515,616842.9,4635973.1,1953,072.75
P1516,617796.2,4636019.6,1953,072.73A
P1517,618307.7,4635769.6,1953,072.73
P1518,616566.9,4636574.6,1953,072.89
P1519,616784.8,4636613.9,1953,072.118
P1523,618942.8,4635541.5,1953,072.72
P1524,619029.9,4636191,1953,072.71
P1525,619635.9,4635994.8,1953,072.69
P1526,619561.8,4636945.2,1953,072.70
P1527,618175.5,4637228.6,1953,072.119
P1528,616462.3,4637891.2,1953,072.54
P1529,616021.9,4638536.4,1953,072.55
P1530,618070.9,4637939.1,1953,072.122
P1531,619077.9,4638261.7,1953,072.92
P1532,620695.2,4637555.5,1953,072.91
P1533,621196.5,4636831.8,1953,072.67
P1534,621789.4,4637533.7,1953,072.68
P1535,622539.2,4638061.2,1953,072.65
P1536,623297.8,4638165.8,1953,072.64
P1537,623219.3,4637664.5,1953,072.65A
P1538,618275.8,4638902.6,1953,072.93
P1539,617578.3,4639268.7,1953,072.102A
P1540,619731.8,4638920,1953,072.100
P1541,621135.5,4639634.9,1953,072.8
P1542,621235.8,4640079.6,1953,072.7
P1543,618947.1,4640254,1953,072.104
P1544,617294.9,4640419.6,1953,072.102
P1545,620050,4640502.4,1953,072.99
P1546,621235.8,4640681.2,1953,072.6
P1547,624252.4,4638475.3,1953,072.63
