"ProfID","HorID","DepthFrom","DepthTo","CaCO3_perc","OM_perc","pH_H2O","pH_nKCl","P2O5_mg100g","K2O_mg100g","Bulk_density_gcm3","Higroscopic_water","Stones_perc","Sand_perc","Silt_perc","Clay_perc"
"P3844","P3844H01",0,35,0.1,1.3,6.2,5.5,5,8.2,1.6,1.6,NA,50,41,9
"P3849","P3849H03",41,67,0.1,1.3,6.6,5.7,NA,NA,NA,3.4,NA,50,41,9
"P3883","P3883H01",0,30,0.1,2,6.6,5.7,3.5,5,1.6,2,NA,50,38,13
"P3895","P3895H04",61,110,0,1.8,6.5,5.2,NA,NA,NA,4.3,NA,50,32,18
"P4029","P4029H01",0,40,22.3,1,7.8,6.9,19.9,20.3,NA,NA,19,50,24,26
"P4072","P4072H01",0,27,21,3,8.2,7,1,5.1,NA,NA,12,50,35,15
"P4086","P4086H02",40,74,0,1.8,6.2,5.4,1.6,24.5,NA,4.4,8,50,12,38
"P4098","P4098H01",0,25,18.8,2.8,8.1,7.4,2,31.8,NA,1.6,0,50,32,17
"P4233","P4233H03",53,71,0,0.9,6.5,4.6,1,18.6,NA,3.1,1,50,15,35
"P4434","P4434H01",0,45,0,2.1,7.5,6.3,50,62.3,NA,NA,8,50,26,24
"P4434","P4434H02",45,67,2.3,1.1,7.6,6.5,50,83.6,NA,NA,6,50,34,17
"P4566","P4566H02",35,130,0.2,2.3,7.5,7.3,2.4,8.7,NA,2.1,18,50,36,15
"P4611","P4611H01",0,27,0.2,1.4,6.6,5.8,0.7,5.8,NA,3.5,6,50,31,19
"P4827","P4827H02",20,36,0,1.6,5.9,4.9,NA,NA,NA,NA,9,50,24,25
"P4827","P4827H04",53,80,0,1.2,5.4,4.1,2.1,16.3,NA,NA,12,50,32,18
"P4977","P4977H04",75,100,0,3.1,7.7,5.9,18.5,59.1,NA,5.1,18,50,35,16
"P5167","P5167H01",0,30,30,3.4,8,7,8.8,48.4,NA,3.5,9,50,19,31
"P5272","P5272H02",45,70,33.2,1.6,8.3,8,6.2,24.4,NA,1.7,4,50,44,6
"P5505","P5505H02",17,65,0,1.1,5.8,5.1,1,8.5,NA,1.4,1,50,18,33
"P5872","P5872H01",0,40,0,3,6.2,4.8,2.1,27.6,NA,3.5,6,50,16,34
"P5901","P5901H02",27,46,0.3,1.7,8.1,6.6,7,16.8,NA,8.3,NA,50,7,44
"P5962","P5962H03",43,60,0,3.3,6.4,5.8,2.5,36,NA,5.6,16,50,12,39
"P5980","P5980H03",50,75,25,1.4,7.9,6.9,4,20.8,NA,4.1,2,50,22,28
"P6199","P6199H01",0,26,0,18.7,5.5,4.4,7.1,20.8,NA,3.3,10,50,24,26
"P6250","P6250H02",22,70,0,0,8.6,7,NA,NA,NA,0.3,16,50,17,33
"P6290","P6290H02",45,80,11.8,1.5,8.1,7.2,NA,NA,NA,5.2,1,50,12,39
"P6319","P6319H02",23,55,0,3.2,6.8,5.4,NA,NA,NA,1.6,25,50,33,17
"P6330","P6330H01",0,25,3.3,3.9,8.1,6.9,NA,NA,NA,NA,22,50,31,19
"P6355","P6355H02",22,44,0,2.3,5.7,4.2,NA,NA,NA,1.9,22,50,33,18
"P6372","P6372H02",31,65,0,5.4,5.1,4.1,NA,NA,NA,2.5,8,50,40,10
"P6419","P6419H01",0,26,2.3,4.3,8,7.2,NA,NA,NA,2.4,15,50,30,20
"P6419","P6419H03",65,92,0.9,1.9,8.1,6.8,NA,NA,NA,2.4,12,50,21,29
"P6480","P6480H02",25,69,5.9,1.4,8.7,7.2,NA,NA,NA,3.2,1,50,34,17
"P6520","P6520H04",35,60,1.8,0.8,7.9,7.3,13.3,26.6,NA,5.9,0,50,21,28
"P0036","P0036H02",24,44,0,2.5,6.3,5.6,1.7,6.5,NA,1.5,17,51,41,9
"P0051","P0051H02",19,39,14.8,3.1,8.1,6.8,1,7.5,NA,4.8,16,51,31,18
"P0084","P0084H02",12,32,0,2.2,4.3,3.2,1,5.5,NA,1.4,33,51,39,9
"P0107","P0107H02",22,33,0,1.8,5.4,4.5,1,18.2,NA,3.6,16,51,31,17
"P0505","P0505H02",28,70,0,2.9,7.2,6.1,0,14.4,NA,2.7,3,51,44,6
"P0506","P0506H02",28,55,0,2.3,7.6,6.4,2.4,6.9,NA,1.7,1,51,44,6
"P0511","P0511H02",3,58,0,1.9,6.6,6,2.4,4.9,NA,1.3,2,51,43,6
"P0612","P0612H03",40,70,0,4.4,5.6,4.1,1,0,NA,4,28,51,37,13
"P0660","P0660H01",0,27,0,4.1,5.4,4.5,1.3,14.6,NA,1.4,7,51,41,8
"P0716","P0716H02",14,35,0,2,5.8,4.8,1,8,NA,NA,18,51,32,17
"P0944","P0944H01",0,20,23.6,6,7.7,7.3,1,NA,NA,NA,0,51,40,9
"P0957","P0957H02",18,50,11.9,2.7,8.1,7.6,NA,NA,NA,NA,0,51,41,8
"P0975","P0975H02",17,57,8.1,1.6,7.9,7.6,1,NA,NA,NA,0,51,43,6
"P1095","P1095H03",20,35,15,3.1,8.2,7.9,NA,NA,NA,NA,0,51,39,10
"P1113","P1113H03",39,69,12.9,NA,8,7.2,NA,NA,NA,NA,0,51,43,6
"P1139","P1139H02",16,30,26.6,1.4,8,7.3,1,10.7,NA,NA,0,51,38,12
"P1141","P1141H01",0,18,43.3,2,7.9,7.2,1,12.8,NA,NA,10,51,39,9
"P1191","P1191H02",20,50,NA,2.2,7.6,6,1,17.8,NA,NA,6,51,28,21
"P1279","P1279H02",23,39,0,1.8,7.4,6.7,1.5,14.5,1.3,5.1,18,51,28,21
"P1616","P1616H04",75,92,0,0.9,8.1,6.5,8,13,NA,3.5,1,51,34,15
"P1744","P1744H02",36,59,0,4.1,6.1,4.8,1,3.9,NA,3.5,16,51,36,13
"P1747","P1747H01",0,13,0,3.6,5.5,4.6,4.1,44.7,NA,1.6,30,51,32,16
"P1769","P1769H01",0,10,0.7,11,7.4,6.5,2,26,NA,6.1,8,51,36,12
"P1790","P1790H01",1,11,0,7.2,5.5,4.3,9,25.9,NA,2.8,7,51,34,15
"P1805","P1805H01",0,45,0,2,NA,NA,0.8,NA,NA,1.8,30,51,39,11
"P1877","P1877H02",20,80,0,1.6,6.8,5.7,2,NA,NA,2,9,51,41,8
"P1983","P1983H01",0,32,0,6.2,7.4,7.1,0.5,NA,NA,NA,0,51,43,6
"P2059","P2059H01",0,30,3.3,1.9,6.9,6.2,7.4,7,1.4,2.6,NA,51,37,13
"P2106","P2106H02",50,80,0.1,0.8,6.9,5.6,22.2,11.8,1.7,7.1,NA,51,29,21
"P2402","P2402H03",54,93,0.1,0.2,7.3,6.5,NA,NA,NA,3.8,NA,51,35,14
"P2637","P2637H03",72,98,42.6,1.2,8.4,7.2,5.7,21.8,NA,NA,2,51,27,23
"P2639","P2639H01",0,21,4.7,2,8.3,7,19.2,32.3,NA,NA,1,51,28,21
"P3188","P3188H03",65,95,0,1.3,7,6,5,17.5,NA,NA,12,51,25,24
"P3214","P3214H03",55,85,0,1.6,6.3,5.2,8.5,29.2,NA,3.6,9,51,14,35
"P3279","P3279H03",37,60,NA,1.6,8.1,6.6,19.4,8.5,NA,1.2,13,51,27,22
"P3352","P3352H02",40,70,0.1,1.3,7.4,6,3.7,40,NA,4.5,10,51,11,38
"P3361","P3361H01",0,37,14.6,5.3,7.7,6,25.7,30,NA,3.5,28,51,27,23
"P3437","P3437H01",0,31,0,1.6,6.2,5.5,3.2,20,1.5,4,NA,51,30,19
"P3505","P3505H03",90,119,0,0.6,6.9,6.3,NA,NA,NA,3.7,NA,51,45,5
"P3590","P3590H03",51,78,0,3.3,7.2,6.3,NA,NA,NA,4.2,NA,51,31,18
"P3746","P3746H02",45,100,0,0.9,7.1,5.9,NA,NA,1.6,4.5,1,51,35,15
"P3749","P3749H02",33,79,NA,2.1,7,6,NA,NA,1.6,3.4,NA,51,30,19
"P3749","P3749H03",79,110,NA,NA,7.2,6.1,NA,NA,NA,3.2,NA,51,35,14
"P3839","P3839H04",110,130,1.6,1,7.4,6.7,NA,NA,NA,4.6,NA,51,36,14
"P3850","P3850H02",43,80,NA,2,6.3,5.1,NA,NA,1.5,5.8,1,51,30,19
"P4008","P4008H03",62,90,7.8,1,7.8,6.7,13.8,22.6,NA,NA,2,51,22,26
"P4031","P4031H01",0,30,0,2,6.8,5.3,1,17.8,NA,NA,5,51,23,26
"P4073","P4073H01",0,45,14.9,1.6,8.1,6.9,7.8,24.6,NA,NA,15,51,21,28
