pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P2054,P2054H01,1,0,20,NA,NA,NA,0.08,3,NA,6.8,5.9,11.2,15.8,NA,NA,0,NA,1.42,2.78,4.09,48.92,13.66,33.71,47.37,NA,NA,26.3,36.5,35.3,1.9,99.99999999999999,37.199999999999996
P2054,P2054H02,2,20,57,NA,NA,NA,0.28,2.5,NA,7.2,6.6,9.4,16.4,NA,NA,0,NA,1.36,2.71,8.32,49.81,NA,NA,48.77,NA,NA,33.8,46,18.3,1.9,100,20.2
P2054,P2054H03,3,81,99,NA,NA,NA,6,1.3,NA,7.8,6.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,54.75,29.35,3.1,100,32.45
P2055,P2055H01,1,0,27,NA,NA,NA,0.12,1.9,NA,5.9,5,11.2,12.2,NA,NA,0,NA,1.53,2.68,2.48,42.91,11.35,16.76,28.11,NA,NA,15.8,36.25,44.05,3.9,99.99999999999999,47.949999999999996
P2055,P2055H02,2,55,85,NA,NA,NA,0.12,1.3,NA,6.8,5.6,NA,NA,NA,NA,0,NA,1.72,2.76,2.7,37.68,NA,NA,32.02,NA,NA,21.3,16,53.2,9.5,100,62.7
P2055,P2055H03,3,92,127,NA,NA,NA,0.28,1.6,NA,7.3,6.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,66.75,8.45,8,100,16.45
P2056,P2056H01,1,0,40,NA,NA,NA,0.6,1.7,NA,6.2,5.5,13.4,8.6,NA,NA,0,NA,1.79,2.67,0.8,32.95,4.5,NA,30.12,NA,NA,7.05,12,44.25,36.7,100,80.95
P2056,P2056H02,2,40,81,NA,NA,NA,0.28,4,NA,6.8,6.1,NA,NA,NA,NA,0,NA,1.78,2.64,2.13,32.57,NA,NA,26.84,NA,3.35,4.55,16.25,39.7,39.5,100,79.2
P2056,P2056H03,3,81,119,NA,NA,NA,3.2,1,NA,7,6.2,NA,NA,NA,NA,0,NA,NA,NA,2.21,NA,NA,NA,NA,NA,NA,2.8,24.25,47.25,25.7,100,72.95
P2059,P2059H01,1,0,30,NA,NA,NA,3.28,1.9,NA,6.9,6.2,7.4,7,NA,NA,0,NA,1.39,2.81,2.56,50.53,11.72,35.63,46.35,NA,NA,13.05,36.75,49.6,0.6,100,50.2
P2059,P2059H02,2,60,84,NA,NA,NA,0.08,3.1,NA,5.6,5.3,NA,NA,NA,NA,0,NA,1.39,2.8,7.74,50.35,NA,NA,37.82,NA,NA,26.3,46,27.3,0.4,100,27.7
P2059,P2059H03,3,84,111,NA,NA,NA,0.12,1.9,NA,6.7,6.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.55,39.25,24.4,4.8,100,29.2
P2063,P2063H01,1,0,18,NA,NA,NA,0.16,1.8,NA,6.4,5.6,4.4,11.6,NA,NA,0,NA,1.76,2.76,3.02,36.23,13.83,19.29,33.12,NA,NA,12.55,21.75,57.2,8.5,100,65.7
P2063,P2063H02,2,18,53,NA,NA,NA,2,1.2,NA,7.5,6.8,6.2,7.6,NA,NA,0,NA,1.81,2.72,2.04,33.45,NA,NA,30.21,NA,NA,12.55,21.75,57.2,8.5,100,65.7
P2063,P2063H03,3,53,102,NA,NA,NA,0.12,0.6,NA,7.4,6.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26,12.8,14.75,36.95,35.5,100,72.45
P2064,P2064H01,1,0,20,NA,NA,NA,0.6,2.3,NA,8.1,7.1,11.2,17.6,NA,NA,0,NA,1.52,2.8,6.44,45.7,21.5,21.5,38.66,NA,NA,20.55,27.5,48.85,3.1,100,51.95
P2064,P2064H02,2,36,66,NA,NA,NA,0.24,1.2,NA,8,6.8,NA,NA,NA,NA,0,NA,1.63,2.78,5.72,41.36,NA,NA,36.1,NA,NA,3.05,39.75,52.5,4.7,100,57.2
P2064,P2064H03,3,74,94,NA,NA,NA,6,0.6,NA,8.2,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,23,50.2,10,100,60.2
P2066,P2066H01,1,0,30,NA,NA,NA,4,3.7,NA,8.2,6.7,11.6,18.2,NA,NA,0,NA,1.46,2.75,8.81,46.9,24.49,18.06,42.55,NA,NA,35.3,39.75,23.35,1.6,100,24.950000000000003
P2066,P2066H02,2,30,60,NA,NA,NA,10.4,1.5,NA,8.4,7.1,8.2,10.4,NA,NA,0,NA,1.54,2.84,7.88,45.77,NA,NA,43.55,NA,NA,6.05,50,43.25,0.7,100,43.95
P2066,P2066H03,3,60,91,NA,NA,NA,19.2,0.9,NA,8.2,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.55,26.25,59.2,2,100,61.2
P2068,P2068H01,1,0,20,NA,NA,NA,6,3.7,NA,7.8,6.7,19.4,20.4,NA,NA,0,NA,1.39,2.78,7.06,50,19.62,24.33,43.95,NA,NA,30.8,36.75,28.05,4.4,100,32.45
P2068,P2068H02,2,20,52,NA,NA,NA,4.4,2.4,NA,7.8,7,19,17.2,NA,NA,0,NA,1.35,2.61,5.44,48.87,NA,NA,47.65,NA,NA,28.05,42.75,22.8,6.4,100,29.200000000000003
P2068,P2068H03,3,80,110,NA,NA,NA,10.4,1.7,NA,8.1,7.1,NA,NA,NA,NA,0,NA,1.76,2.74,NA,35.76,NA,NA,33.29,NA,NA,12.3,59.5,18.3,9.9,100,28.200000000000003
P2069,P2069H01,1,0,12,NA,NA,NA,0.68,5,NA,7.1,6.3,9.8,24.6,NA,NA,0,NA,1.28,2.62,9.84,51.14,25.1,22.84,47.94,NA,NA,7.8,62.5,20,9.7,100,29.7
P2069,P2069H02,2,40,68,NA,NA,NA,6.8,1.9,NA,8.1,7.1,NA,NA,NA,NA,0,NA,1.44,2.7,9.71,46.66,NA,NA,45.32,NA,NA,21.8,48,21.5,8.7,100,30.2
P2069,P2069H03,3,68,108,NA,NA,NA,7.2,1.3,NA,8,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,40.75,39.05,14.4,99.99999999999999,53.449999999999996
P2071,P2071H01,1,0,38,NA,NA,NA,2.4,2.3,NA,7.6,7,9.2,15.4,NA,NA,0,NA,1.7,2.82,7.99,39.71,23.59,9.96,33.55,NA,NA,18.05,49.75,23.12,9.08,100,32.2
P2071,P2071H02,2,50,77,NA,NA,NA,NA,0.6,NA,8.2,7.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,11,65.4,12.8,100,78.2
P2071,P2071H03,3,77,105,NA,NA,NA,2.8,0.6,NA,7.7,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2.3,14,73.1,10.6,99.99999999999999,83.69999999999999
P2072,P2072H01,1,0,24,NA,NA,NA,0.16,3.3,NA,6.5,5.8,7.4,22.8,NA,NA,0,NA,1.25,2.63,7.84,52.47,26.18,26.32,52.5,NA,NA,24.8,43.5,27.8,3.9,100,31.7
P2072,P2072H02,2,24,50,NA,NA,NA,3.6,2.7,NA,7.8,7,9,13.4,NA,NA,0,NA,1.58,2.7,8.99,41.48,NA,NA,39.75,NA,NA,24.05,41.75,30.3,3.9,100,34.2
P2072,P2072H03,3,78,105,NA,NA,NA,11.6,0.9,NA,8,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,57.75,29.8,11.9,100,41.7
P2073,P2073H01,1,0,24,NA,NA,NA,2.8,5.4,NA,7.2,6.8,12,32,NA,NA,0,NA,1.15,2.74,8.85,58.02,29.55,21.84,51.39,NA,NA,27.55,48,23.75,0.7,100,24.45
P2073,P2073H02,2,24,60,NA,NA,NA,4,2.6,NA,7.8,7,15.4,20.4,NA,NA,0,NA,1.25,2.63,7.06,52.47,NA,NA,50.17,NA,NA,10.05,71.25,17.6,1.1,100,18.700000000000003
P2073,P2073H03,3,75,102,NA,NA,NA,7.2,1.3,NA,7.7,7.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,11.8,42,8,38.2,100,46.2
P2074,P2074H01,1,0,30,NA,NA,NA,0.08,2.8,NA,6.7,5.7,7.4,15.8,NA,NA,0,NA,1.4,2.7,8.78,48.14,24.4,23.29,47.69,NA,NA,31.3,34.85,28.25,5.6,100,33.85
P2074,P2074H02,2,30,63,NA,NA,NA,0.32,1.7,NA,7.4,6.5,8,11.6,NA,NA,0,NA,1.54,2.78,9.21,44.6,NA,NA,38.63,NA,NA,25.3,40.25,29.15,5.3,99.99999999999999,34.449999999999996
P2074,P2074H03,3,63,95,NA,NA,NA,2,1.4,NA,7.5,6.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,49.5,30,3.2,100,33.2
P2076,P2076H01,1,0,40,NA,NA,NA,2.4,3.3,NA,7.5,6.4,4,8,NA,NA,0,NA,1.55,2.73,7.99,43.22,22.21,19.28,41.49,NA,NA,47.8,27.5,22.6,2,99.9,24.6
P2076,P2076H02,2,40,70,NA,NA,NA,1.2,2.6,NA,8.1,6.7,NA,NA,NA,NA,0,NA,1.52,2.78,8.47,45.32,NA,NA,43.51,NA,NA,29.8,40.5,21.1,8.6,100,29.700000000000003
P2076,P2076H03,3,88,100,NA,NA,NA,6.4,0.7,NA,8.2,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,36,43.7,14.5,100,58.2
P2078,P2078H01,1,0,20,NA,NA,NA,0.2,1.5,NA,6.3,5.5,7,16.4,NA,NA,0,NA,1.59,2.75,4.48,42.18,14.96,21.88,36.84,NA,6.45,12.3,27.5,52.7,7.5,100,60.2
P2078,P2078H02,2,20,45,NA,NA,NA,0.08,1,NA,6.7,5.6,5,11.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,28.3,29,33.3,9.4,99.99999999999999,42.699999999999996
P2078,P2078H03,3,45,79,NA,NA,NA,0.08,0.8,NA,6.6,5.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,13.3,23.25,19.35,44.1,100,63.45
P2080,P2080H01,1,0,22,NA,NA,NA,0.2,1.6,NA,6.1,5.2,NA,NA,NA,NA,0,NA,1.59,2.78,3.12,42.8,17.47,20.31,37.78,NA,NA,9.05,29.25,50.4,11.3,100,61.7
P2080,P2080H02,2,22,51,NA,NA,NA,0.12,1.5,NA,6.9,6.2,4.4,9.6,NA,NA,0,NA,1.74,2.79,5.53,37.63,NA,NA,33.22,NA,1.5,8.8,20.75,40.45,30,100,70.45
P2080,P2080H03,3,80,105,NA,NA,NA,2.4,1.4,NA,7.4,6.8,8,8.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.05,36.75,34.8,4.4,99.99999999999999,39.199999999999996
P2082,P2082H01,1,0,16,NA,NA,NA,0.12,1.7,NA,6.7,5.5,13.2,9.6,NA,NA,0,NA,1.65,2.85,5.44,42.1,23.46,6.66,30.12,NA,NA,9.05,30.75,49.6,10.6,100,60.2
P2082,P2082H02,2,16,52,NA,NA,NA,0.2,1.4,NA,7.4,6.6,9.8,9,NA,NA,0,NA,1.75,2.79,4.84,37.27,NA,NA,33.9,NA,NA,29.55,34.25,28.4,7.8,99.99999999999999,36.199999999999996
P2082,P2082H03,3,52,98,NA,NA,NA,0.4,1.2,NA,8.1,6.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,32.25,38.55,4.9,99.99999999999999,43.449999999999996
P2083,P2083H01,1,0,40,NA,NA,NA,0.16,1.5,NA,6.3,5.8,4,16.8,NA,NA,0,NA,1.67,2.75,5,39.27,NA,NA,34.08,NA,NA,17.55,23.75,44.8,13.9,99.99999999999999,58.699999999999996
P2083,P2083H02,2,40,94,NA,NA,NA,0.12,0.8,NA,6.7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,24.75,41.45,14.5,100,55.95
P2084,P2084H01,1,0,17,NA,NA,NA,0.12,1.6,NA,6.7,5.9,5.4,11.2,NA,NA,0,NA,1.51,2.74,3.56,44.89,11.89,26.89,38.78,NA,NA,25.8,36.5,33.8,3.9,99.99999999999999,37.699999999999996
P2084,P2084H02,2,36,64,NA,NA,NA,1.2,1.2,NA,8.1,7.1,NA,NA,NA,NA,0,NA,1.65,2.83,6.08,41.69,NA,NA,36.81,NA,NA,20.8,43.75,31.35,4.1,100,35.45
P2084,P2084H03,3,64,107,NA,NA,NA,2.4,1,NA,7.9,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.05,24,40.85,7.1,100,47.95
P2085,P2085H01,1,0,30,NA,NA,NA,0.16,1.3,NA,6.3,6.2,3.4,8,NA,NA,0,NA,1.4,2.75,1.74,49.09,9.74,32.1,41.84,NA,1.1,9.8,33.75,50.15,6.3,99.99999999999999,56.449999999999996
P2085,P2085H02,2,30,72,NA,NA,NA,1.2,1,NA,8.3,7.3,5.4,11.2,NA,NA,0,NA,1.72,2.88,6.62,40.27,NA,NA,31.88,NA,NA,14.8,45,29.7,10.5,100,40.2
P2085,P2085H03,3,72,105,NA,NA,NA,10,0.4,NA,8.4,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,36.5,47.5,13.2,100,60.7
P2086,P2086H01,1,0,20,NA,NA,NA,0.16,2.6,NA,6.4,5.1,4.4,11.8,NA,NA,0,NA,1.4,2.72,4.98,48.52,16.63,27.33,43.96,NA,NA,30.05,36.75,28.9,4.3,99.99999999999999,33.199999999999996
P2086,P2086H02,2,39,82,NA,NA,NA,0.16,1.8,NA,7.8,6.8,NA,NA,NA,NA,0,NA,1.56,2.58,6.62,39.53,NA,NA,39.49,NA,NA,27.05,45.25,23.2,4.5,100,27.7
P2086,P2086H03,3,100,115,NA,NA,NA,0.48,1,NA,7.5,6.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,54.75,30.95,11,100,41.95
P2087,P2087H01,1,0,40,NA,NA,NA,0.08,1.9,NA,5.9,4.8,5,9.2,NA,NA,0,NA,1.64,2.69,3.15,39.03,10.52,22.44,32.96,NA,NA,26.8,26.5,40.1,7,100.39999999999999,47.1
P2087,P2087H02,2,41,79,NA,NA,NA,0.08,1.5,NA,6.8,5.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,28.35,40.15,5.3,100,45.449999999999996
P2087,P2087H03,3,79,111,NA,NA,NA,0.16,1.3,NA,7.4,5.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,51.75,21.45,2,100,23.45
P2090,P2090H01,1,0,23,NA,NA,NA,0.08,2.2,NA,6.3,5.2,3.4,4.6,NA,NA,0,NA,1.6,2.69,3.43,40.52,15.7,23.93,39.63,NA,NA,19.05,33,34.45,13.5,100,47.95
P2090,P2090H02,2,33,57,NA,NA,NA,0.08,2,NA,6.4,5.4,3.2,4.6,NA,NA,0,NA,1.39,2.68,4.15,48.13,NA,NA,46.68,NA,NA,20.55,44.75,30.9,3.8,99.99999999999999,34.699999999999996
P2090,P2090H03,3,90,122,NA,NA,NA,0.52,1.4,NA,7.4,6.7,NA,NA,NA,NA,0,NA,NA,NA,3.77,NA,NA,NA,NA,NA,NA,23.3,38.5,31.7,6.5,100,38.2
P2092,P2092H01,1,0,6,NA,NA,NA,0.08,5.1,NA,6.2,5.2,6.4,15.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,28,48,12.7,100,60.7
P2092,P2092H02,2,6,37,NA,NA,NA,0.16,1.3,NA,6.8,6,8.6,16.4,NA,NA,0,NA,1.72,2.74,4.61,37.22,NA,NA,33.1,NA,NA,26.55,15.5,46.55,11.4,99.99999999999999,57.949999999999996
P2092,P2092H03,3,37,67,NA,NA,NA,10.4,0.7,NA,8.4,7.5,NA,NA,NA,NA,0,NA,1.69,2.73,3.9,38.09,NA,NA,34.48,NA,NA,7.05,28.5,50.95,13.5,100,64.45
P2092,P2092H04,4,90,114,NA,NA,NA,2,1,NA,7.9,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,25.25,52.55,15.9,100,68.45
P2094,P2094H01,1,0,17,NA,NA,NA,0.12,4.2,NA,6.9,6.1,11.2,35.8,NA,NA,0,NA,1.57,2.74,6.59,42.7,22.01,34.16,36.17,NA,NA,20.05,34.25,39.3,6.4,99.99999999999999,45.699999999999996
P2094,P2094H02,2,17,48,NA,NA,NA,0.08,1.7,NA,6.7,5.9,7.2,19.6,NA,NA,0,NA,1.52,2.84,8.21,46.47,NA,NA,41.71,NA,NA,25.8,47,22.9,4.3,100,27.2
P2094,P2094H03,3,48,76,NA,NA,NA,7.2,1,NA,8.1,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,45,36.95,10.5,100,47.45
P2094,P2094H04,4,76,100,NA,NA,NA,6.8,0.7,NA,8.2,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,2.55,31.25,54.6,11.6,100,66.2
P2096,P2096H01,1,0,18,NA,NA,NA,0.16,2.7,NA,7.6,6.5,9.2,20,NA,NA,0,NA,1.51,2.68,5.4,43.65,15.01,25.25,40.26,NA,NA,37.55,21.75,37.2,3.5,100,40.7
P2096,P2096H02,2,18,43,NA,NA,NA,0.28,1.5,NA,7.8,6.9,6.2,15.8,NA,NA,0,NA,1.55,2.67,6.9,41.94,NA,NA,40.14,NA,NA,32.55,28.57,35.7,3,99.82000000000001,38.7
P2096,P2096H03,3,43,87,NA,NA,NA,0.28,1.1,NA,7.7,6.9,NA,NA,NA,NA,0,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,23.8,30.5,37,9,100.3,46
P2096,P2096H04,4,107,182,NA,NA,NA,18.4,0.5,NA,8,7.2,NA,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5.05,23.75,62.2,9,100,71.2
P2098,P2098H01,1,0,20,NA,NA,NA,0.2,4.1,NA,6.7,6,9,18.2,NA,NA,0,NA,1.66,2.61,5.06,36.39,20.55,9.55,30.1,NA,NA,19.05,39,35.75,6.2,100,41.95
P2098,P2098H02,2,20,57,NA,NA,NA,0.16,1.5,NA,7.2,6.2,6.4,14.6,NA,NA,0,NA,1.74,2.74,5.37,36.49,NA,NA,33.35,NA,NA,10.05,27.5,49.15,13.3,100,62.45
P2098,P2098H03,3,71,117,NA,NA,NA,7.2,0.5,NA,7.9,7.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,38,43.65,8.3,100,51.95
P2100,P2100H01,1,0,26,NA,NA,NA,0.12,3.6,NA,6.1,5,6,22.8,NA,NA,0,NA,1.21,2.7,7.09,55.15,19.71,31.5,51.21,NA,NA,42.05,28.25,28.1,1.6,100,29.700000000000003
P2100,P2100H02,2,26,57,NA,NA,NA,0.08,2,NA,6.7,5,8.4,12.6,NA,NA,0,NA,1.61,2.73,7.14,41.02,NA,NA,32.56,NA,NA,40.8,24,32.1,3.1,100,35.2
P2100,P2100H03,3,68,95,NA,NA,NA,4.8,0.7,NA,8.2,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,43.25,38.9,9.3,100,48.2
P2102,P2102H01,1,0,27,NA,NA,NA,0.12,2,NA,6.1,5.4,40,15.4,NA,NA,0,NA,1.59,2.72,2.41,41.54,11.03,21.26,32.29,NA,NA,15.55,20.75,52,11.7,100,63.7
P2102,P2102H02,2,45,79,NA,NA,NA,0.04,1.5,NA,6.7,5.6,NA,NA,NA,NA,0,NA,1.88,2.74,3.49,31.38,NA,NA,30.06,NA,NA,9.05,22.5,53.15,15.3,100,68.45
P2102,P2102H03,3,79,109,NA,NA,NA,0.4,0.6,NA,7,6.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.55,24.25,41.7,14.5,100,56.2
P2103,P2103H01,1,0,30,NA,NA,NA,0.08,1.6,NA,6.4,5.8,19,8.4,NA,NA,0,NA,1.48,2.64,1.43,43.93,7.15,23.36,30.51,NA,NA,14.8,16.5,45.7,23,100,68.7
P2103,P2103H02,2,30,64,NA,NA,NA,0.16,1,NA,7.5,6.5,8.4,13.8,NA,NA,0,NA,1.61,2.53,2.91,36.36,NA,NA,31.32,NA,NA,29.55,16.25,38,16.2,100,54.2
P2103,P2103H03,3,95,128,NA,NA,NA,8,0.7,NA,8.1,7.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,14.5,39.9,25.8,100,65.7
P2104,P2104H01,1,0,30,NA,NA,NA,0.32,3.1,NA,7,6.1,5.2,11.8,NA,NA,0,NA,1.32,2.69,4.51,50.92,15.06,33.01,48.07,NA,NA,23.55,29,33.05,14.4,99.99999999999999,47.449999999999996
P2104,P2104H02,2,41,51,NA,NA,NA,0.28,1.1,NA,7.1,5.8,8,9.4,NA,NA,0,NA,1.82,2.72,5.15,33.08,NA,NA,26.89,NA,NA,13.3,18.5,20.2,48,100,68.2
P2104,P2104H03,3,70,102,NA,NA,NA,0.4,1.2,NA,7.2,6.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05,33.5,31.45,9,100,40.45
P2105,P2105H01,1,0,20,NA,NA,NA,0.08,0.9,NA,6.5,5.3,11.2,3.8,NA,NA,0,NA,1.46,2.6,0.77,43.84,4.31,27.39,31.7,NA,13.4,9.8,11,29,50.2,100,79.2
P2105,P2105H02,2,28,50,NA,NA,NA,0.08,0.4,NA,6.9,5.8,13,3.6,NA,NA,0,NA,1.35,2.6,0.66,48.07,NA,NA,43.69,NA,NA,17.8,23.75,34.15,24.3,100,58.45
P2105,P2105H03,3,80,115,NA,NA,NA,0.04,1.2,NA,6.8,5.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.55,29.75,41.7,6,100,47.7
P2106,P2106H01,1,0,28,NA,NA,NA,0.08,2.2,NA,6.4,5.2,9,17.8,NA,NA,0,NA,1.62,2.69,6.07,39.77,16.87,11.42,28.29,NA,NA,38.8,29.79,23.75,7.7,100.03999999999999,31.45
P2106,P2106H02,2,50,80,NA,NA,NA,0.08,0.8,NA,6.9,5.6,22.2,11.8,NA,NA,0,NA,1.71,2.67,7.05,35.95,NA,NA,33.34,NA,NA,20.8,28.5,37.5,13.2,100,50.7
P2106,P2106H03,3,100,123,NA,NA,NA,0.16,1.4,NA,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.43,9.8,9.5,15.4,65.3,100,80.7
P2108,P2108H01,1,0,30,NA,NA,NA,1.2,1.5,NA,7,6.3,6.6,17,NA,NA,0,NA,1.76,2.68,4.23,34.32,11.75,20.63,32.38,NA,NA,34.3,18,40.7,7,100,47.7
P2108,P2108H02,2,50,80,NA,NA,NA,2,1,NA,7.6,6.8,12.4,20,NA,NA,0,NA,1.54,2.64,5.12,41.66,NA,NA,39.72,NA,NA,9.8,60.75,24.95,4.5,100,29.45
P2108,P2108H03,3,97,114,NA,NA,NA,12.8,0.6,NA,8.4,2.1,NA,NA,NA,NA,0,NA,NA,NA,5.11,NA,NA,NA,NA,NA,NA,2.8,21,69.1,7.1,99.99999999999999,76.19999999999999
P2109,P2109H01,1,0,28,NA,NA,NA,0.4,1.8,NA,7.3,6.5,11.8,12.8,NA,NA,0,NA,1.54,2.7,2.91,42.96,13.32,23.01,36.33,NA,0.4,16.3,22.75,39.45,21.5,100,60.95
P2109,P2109H02,2,28,60,NA,NA,NA,0.12,0.9,NA,6.9,6.2,7.4,8,NA,NA,0,NA,1.73,2.66,1.88,34.96,NA,NA,27.01,NA,3.3,11.05,9.75,31.7,47.5,100,79.2
P2109,P2109H03,3,60,94,NA,NA,NA,0.04,1,NA,6.7,5.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,6.75,23.85,57.6,100,81.45
P2112,P2112H01,1,0,25,NA,NA,NA,0.2,1.1,NA,6.3,5.4,9,4.4,NA,NA,0,NA,1.8,2.65,1.31,32.07,5.99,21.8,27.79,NA,NA,13.3,19.75,47.45,19.5,100,66.95
P2112,P2112H02,2,35,72,NA,NA,NA,0.08,1.1,NA,6.8,5.6,7.6,11.2,NA,NA,0,NA,1.86,2.65,3.12,29.81,NA,NA,27.05,NA,NA,27.8,15,35.7,21.5,100,57.2
P2112,P2112H03,3,101,122,NA,NA,NA,0.12,0.5,NA,7.1,6.4,NA,NA,NA,NA,0,NA,NA,NA,1.66,NA,NA,NA,NA,NA,2.2,7.05,4.75,15.2,73,100,88.2
P2114,P2114H01,1,0,28,NA,NA,NA,0.12,1.5,NA,6.2,5.3,20.6,14.4,NA,NA,0,NA,1.63,2.6,1.46,38.01,6.68,26.85,32.53,NA,2.55,10.05,20.95,41.7,27.3,100,69
P2114,P2114H02,2,50,85,NA,NA,NA,0.08,0.6,NA,6.9,5.7,7.2,15.8,NA,NA,0,NA,1.74,2.71,3.81,35.79,NA,NA,34.27,NA,NA,22.3,19,42.2,16.5,100,58.7
P2114,P2114H03,3,92,115,NA,NA,NA,0.12,0.5,NA,7.1,5.9,NA,NA,NA,NA,0,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA,24.3,12.75,45.75,17.2,100,62.95
P2119,P2119H01,1,0,5,NA,NA,NA,1.2,1.5,NA,8.1,7,19.6,11.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,16.25,53.6,19.6,100,73.2
P2119,P2119H02,2,44,71,NA,NA,NA,1.2,0.6,NA,8.2,7.1,11.8,17.8,NA,NA,0,NA,1.7,2.7,5.44,37.03,NA,NA,36.73,NA,NA,35.3,17.5,31.5,15.7,100,47.2
P2119,P2119H03,3,92,113,NA,NA,NA,0.16,0.5,NA,7.4,6.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21.55,14.75,18.6,45.1,100,63.7
P2120,P2120H01,1,0,34,NA,NA,NA,0.2,2.9,NA,7.2,6.5,20,22.1,NA,NA,0,NA,1.48,2.59,5.44,42.85,15.12,29.96,40.08,NA,NA,39.05,20.75,31.2,9,100,40.2
P2120,P2120H02,2,34,67,NA,NA,NA,2.4,1.2,NA,8.2,6.9,5,16.4,NA,NA,0,NA,1.54,2.72,5.6,43.38,NA,NA,41.95,NA,NA,42.3,22.5,28.1,7.1,100,35.2
P2120,P2120H03,3,83,109,NA,NA,NA,13.6,0.6,NA,8,7.2,NA,NA,NA,NA,0,NA,NA,NA,4.1,NA,NA,NA,NA,NA,9.85,4.55,43.24,32.7,19.5,99.99,52.2
P2124,P2124H01,1,0,27,NA,NA,NA,0.4,1.2,NA,6.1,5.3,30.6,14.6,NA,NA,0,NA,1.63,2.66,1.17,38.72,6.55,25.23,31.78,NA,NA,8.3,11.25,64.35,16.1,99.99999999999999,80.44999999999999
