pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P6245,P6245H01,1,0,36,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.3,NA,7.4,6,NA,NA,10.1,13.88,15.58,89.08857509627728,NA,NA,1.47,NA,NA,NA,NA,NA,2.3,16.2,21,43.16,19.64,100,62.8
P6245,P6245H02,2,36,63,H01-21,C,Rastresit maticen supstrat,0,0.46,NA,8.6,6.6,NA,NA,2.6,31.2,31.599999999999998,98.73417721518987,NA,NA,3.25,NA,NA,NA,NA,NA,0.76,40.2,13.5,32.26,14.04,100,46.3
P6245,P6245H03,3,63,91,H01-21,C,Rastresit maticen supstrat,1.13,0.21,NA,9,7.2,NA,NA,NA,NA,0,NA,NA,NA,3.6,NA,NA,NA,NA,NA,1.84,35.2,18,31.64,15.16,100,46.8
P6245,P6245H04,4,91,120,H01-22,G,Gleen horizont so znaci na redukcija i sekundarna oksidacija,2.74,0.16,NA,9.1,7.2,NA,NA,NA,NA,0,NA,NA,NA,2.39,NA,NA,NA,NA,NA,8.36,33.2,12,35.5,19.3,100,54.8
P6247,P6247H01,1,0,29,H01-07,Amo,Molicen horizont A,21.11,5.42,NA,8.48,7.22,NA,NA,NA,NA,0,NA,NA,NA,2.55,NA,NA,NA,NA,NA,5.16,23.2,35,35.31,6.49,100.00000000000001,41.800000000000004
P6247,P6247H02,2,29,50,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,26.5,1.27,NA,8.58,7.38,NA,NA,NA,NA,0,NA,NA,NA,2.49,NA,NA,NA,NA,NA,5.98,22.2,36.5,34.86,6.44,100,41.3
P6247,P6247H03,3,50,80,H01-21,C,Rastresit maticen supstrat,25.23,0.85,NA,8.65,7.43,NA,NA,NA,NA,0,NA,NA,NA,2.3,NA,NA,NA,NA,NA,9.06,20.7,33.5,37.85,7.95,100.00000000000001,45.800000000000004
P6248,P6248H01,1,0,26,H01-49,P,Antropogen horizont,3.51,2.28,NA,8.56,7.18,NA,NA,NA,NA,0,NA,NA,NA,4.32,NA,NA,NA,NA,NA,5.78,43.2,17.5,33.43,5.87,100,39.3
P6248,P6248H02,2,26,55,H01-49,P,Antropogen horizont,0,0.98,NA,8.33,7.23,NA,NA,6.8,30.64,31.84,96.23115577889448,NA,NA,4.93,NA,NA,NA,NA,NA,5.02,38.7,22,32.82,6.48,100,39.3
P6248,P6248H03,3,55,80,H01-21,C,Rastresit maticen supstrat,46.23,0.21,NA,8.58,7.48,NA,NA,NA,NA,0,NA,NA,NA,2.22,NA,NA,NA,NA,NA,9.18,22.2,26,42.7,9.1,100.00000000000001,51.800000000000004
