LabID,x,y,p
2,-64.05075,-37.3910277777778,6.980662983425414
4,-63.6770833333333,-35.3730555555556,19.184100418410043
6,-64.3416944444444,-35.5201111111111,49.537012113055184
8,-63.5906388888889,-35.8505277777778,22.796373779637378
10,-63.5254166666667,-37.6940555555556,8.044198895027623
47,-62.2516111111111,-38.0805,36.523415977961434
49,-63.0782222222222,-37.4321666666667,6.4350205198358426
51,-61.5128194444444,-37.3764611111111,20.4
53,-62.2131666666667,-37.369,9.602816901408453
55,-62.4912222222222,-37.1315277777778,14.01884253028264
57,-62.1964833333333,-36.5162,11.569037656903765
60,-57.84725,-37.8513611111111,10.524407252440724
62,-59.8850722222222,-36.8289638888889,31.325966850828728
64,-58.8762,-38.54,15.869158878504674
67,-60.3039444444444,-38.453,20.847619047619048
68,-60.3977222222222,-38.515666666666704,13.544951590594742
69,-60.4144166666667,-38.5291388888889,46.17270194986072
74,-60.0055555555556,-38.765,20.942857142857143
75,-60.1075,-38.7647222222222,26.82377049180328
77,-60.1713888888889,-38.7927777777778,22.561904761904763
78,-60.0311111111111,-38.7461111111111,20.08571428571429
79,-60.0275,-38.7488888888889,12.092669432918395
82,-60.4530833333333,-38.5713888888889,12.575136612021858
84,-60.3864444444444,-38.5725277777778,7.191780821917809
85,-60.3636666666667,-38.6018333333333,7.191780821917809
86,-60.4805555555556,-38.6013888888889,13.627450980392156
90,-61.628778,-33.134278,13.627450980392156
92,-61.98175,-33.189361,47.94117647058823
96,-61.550111,-33.25175,8.347280334728033
98,-61.504083,-33.182639,6.424657534246576
100,-60.4537222222222,-35.6339361111111,22.903005464480874
101,-59.9037305555556,-35.2929944444444,25.68262653898769
102,-59.9936333333333,-35.24645,50.19699042407661
103,-61.09175,-35.5043611111111,6.349295774647888
104,-60.7955555555556,-35.3653333333333,12.659154929577467
105,-60.99375,-35.5451388888889,27.970711297071134
106,-60.9649444444444,-35.2293333333333,6.101813110181311
108,-60.886889,-33.486194,22.705382436260628
109,-60.9646666666667,-35.5292222222222,9.701408450704227
