ProfID,soiltype,X,Y
P0249,Populated Site,21.74450692,42.16350709
P0255,Vertisol,21.75687829,42.14650838
P0260,Vertisol,21.76355527,42.12624199
P0283,Complex of Regosol and Leptosol,21.80548106,42.15240794
P0295,Complex of Regosol and Leptosol,21.78829902,42.16506028
P0299,Complex of Regosol and Leptosol,21.81201532,42.12781804
P0306,Vertisol,21.72857166,42.07826373
P0307,Vertisol,21.71299856,42.08199004
P0313,Complex of Vertisol and Humic Calcaric Regosol,21.66505764,42.04437206
P0314,Chromic Luvisol on saprolite,21.64878881,42.04695022
P0319,Vertisol,21.66580095,42.05887283
P0320,Cambisol,21.89271833,42.25716618
P0321,Cambisol,21.90497584,42.27357333
P0322,Cambisol,21.92881645,42.26908811
P0323,Regosol,21.92146867,42.25647961
P0324,Cambisol,21.9553327,42.26140648
P0325,Complex of Cambisol and Regosol,21.98755059,42.26848033
P0326,Cambisol,22.03033207,42.26867116
P0327,Cambisol,22.05015157,42.28035778
P0328,Cambisol,22.09584109,42.28977089
P0331,Complex of Cambisol and Regosol,22.23168061,42.26758568
P0332,Complex od Cambisol and Leptosol,22.25971848,42.261519
P0334,Complex of Cambisol and Regosol,22.20810175,42.30808115
P0337,"Complex of Cambisol, Leptosol and Regosol",22.32138008,42.26986435
P0338,Cambisol,22.31461466,42.28904701
P0339,Cambisol,22.28814779,42.30529213
P0340,Vertisol,21.87088478,42.23296175
P0341,Vertisol,21.86531991,42.21581625
P0342,Regosol,21.91397996,42.22550471
P0345,Vertisol,21.9479351,42.20770838
P0347,Vertisol,21.96891916,42.23760455
P0349,Complex of Regosol and Vertisol,21.87745385,42.16926594
P0350,Vertisol,21.91430237,42.17394813
P0352,"Complex of Vertisol, Regosol and Leptosol",21.90335439,42.14204521
P0356,Vertisol,21.9899484,42.14268125
P0360,"Complex of Vertisol, Regosol and Leptosol",21.84701826,42.09781694
P0361,Vertisol,21.87547658,42.08109961
P0363,"Complex of Vertisol, Regosol and Leptosol",21.92184843,42.09758231
P0364,Vertisol,21.89036732,42.05000329
P0365,"Complex of Vertisol, Regosol and Leptosol",21.95435742,42.06859486
P0366,Complex of Regosol and Vertisol,21.96965503,42.0764979
P0367,"Complex of Vertisol, Regosol and Leptosol",21.93901757,42.04690542
P0368,Complex of Chromic Luvisol on saprolite and Regosol,21.88262742,42.02757171
P0369,"Complex of Vertisol, Regosol and Leptosol",21.97123445,42.02074257
P0370,"Complex of Vertisol, Regosol and Leptosol",22.05043698,42.0429955
P0372,"Complex of Vertisol, Regosol and Leptosol",22.04577729,42.06452083
P0373,Fluvisol,22.02966176,42.08117026
P0375,"Complex of Vertisol, Regosol and Leptosol",22.05704649,42.15813595
P0376,"Complex of Cambisol, Leptosol and Regosol",22.05783394,42.17780135
P0379,"Complex of Vertisol, Regosol and Leptosol",22.04453245,42.13079877
P0380,"Complex of Vertisol, Regosol and Leptosol",21.95684065,42.03599876
P0381,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",22.07716923,42.16877999
P0382,"Complex of Cambisol, Leptosol and Regosol",22.09288011,42.19908112
P0383,"Complex of Cambisol, Leptosol and Regosol",22.13837019,42.20301435
P0384,"Complex of Cambisol, Leptosol and Regosol",22.18425011,42.20677243
P0385,"Complex of Cambisol, Leptosol and Regosol",22.18589776,42.21910806
P0386,"Complex of Cambisol, Leptosol and Regosol",22.21998723,42.2149691
P0388,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",22.17351957,42.18119593
P0389,Complex of Chromic Luvisol on saprolite and Regosol,22.24139459,42.18930481
P0390,Complex of Chromic Luvisol on saprolite and Regosol,22.26663435,42.1746144
P0391,"Complex of Cambisol, Leptosol and Regosol",22.30922708,42.23907744
P0392,"Complex of Cambisol, Leptosol and Regosol",22.30225343,42.21635139
P0393,"Complex of Cambisol, Leptosol and Regosol",22.15230329,42.22473549
P0394,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",22.09233484,42.16038038
P0397,Fluvisol,22.19967428,42.1655835
P0398,Complex of Chromic Luvisol on saprolite and Regosol,22.23286366,42.16709531
P0399,Cambisol,22.21971787,42.11780668
P0400,"Complex of Cambisol, Leptosol and Regosol",22.11764399,42.10909555
